,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
771,t_1|participant_id[63],-0.332,0.174,-0.651,0.009,0.006,0.004,962.0,880.0,
772,t_1|participant_id[64],0.176,0.175,-0.141,0.517,0.006,0.004,863.0,848.0,
773,t_1|participant_id[65],-0.589,0.185,-0.947,-0.246,0.006,0.004,1029.0,750.0,
774,t_1|participant_id[66],-0.436,0.172,-0.743,-0.101,0.006,0.004,917.0,798.0,
775,t_1|participant_id[67],-0.649,0.177,-0.966,-0.3,0.006,0.004,885.0,816.0,
776,t_1|participant_id[68],0.119,0.174,-0.218,0.441,0.006,0.004,971.0,941.0,
777,t_1|participant_id[69],-0.432,0.174,-0.778,-0.111,0.006,0.004,971.0,848.0,
778,v_signed_contrast|participant_id[1],-0.102,0.044,-0.188,-0.024,0.001,0.001,954.0,1069.0,
779,v_signed_contrast|participant_id[2],-0.077,0.043,-0.16,0.002,0.001,0.001,962.0,1023.0,
780,v_signed_contrast|participant_id[3],-0.094,0.044,-0.177,-0.011,0.001,0.001,949.0,1020.0,
781,v_signed_contrast|participant_id[4],-0.044,0.044,-0.127,0.04,0.001,0.001,958.0,1070.0,
782,v_signed_contrast|participant_id[5],-0.137,0.044,-0.226,-0.061,0.001,0.001,953.0,1023.0,
783,v_signed_contrast|participant_id[6],-0.103,0.044,-0.195,-0.028,0.001,0.001,953.0,1023.0,
784,v_signed_contrast|participant_id[7],-0.113,0.043,-0.2,-0.037,0.001,0.001,938.0,1023.0,
785,v_signed_contrast|participant_id[8],-0.121,0.043,-0.198,-0.035,0.001,0.001,952.0,1021.0,
786,v_signed_contrast|participant_id[9],-0.104,0.044,-0.196,-0.03,0.001,0.001,963.0,982.0,
787,v_signed_contrast|participant_id[10],-0.083,0.043,-0.175,-0.011,0.001,0.001,953.0,1014.0,
788,v_signed_contrast|participant_id[11],-0.133,0.044,-0.226,-0.059,0.001,0.001,950.0,1022.0,
789,v_signed_contrast|participant_id[12],-0.14,0.044,-0.227,-0.061,0.001,0.001,951.0,1022.0,
790,v_signed_contrast|participant_id[13],-0.137,0.044,-0.223,-0.055,0.001,0.001,951.0,1021.0,
791,v_signed_contrast|participant_id[14],-0.069,0.042,-0.155,0.004,0.001,0.001,968.0,1024.0,
792,v_signed_contrast|participant_id[15],-0.088,0.044,-0.169,-0.005,0.001,0.001,952.0,979.0,
793,v_signed_contrast|participant_id[16],-0.118,0.044,-0.206,-0.039,0.001,0.001,958.0,981.0,
794,v_signed_contrast|participant_id[17],-0.089,0.043,-0.175,-0.012,0.001,0.001,941.0,979.0,
795,v_signed_contrast|participant_id[18],-0.135,0.044,-0.222,-0.055,0.001,0.001,947.0,1022.0,
