,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
735,z_prevresp|participant_id_offset[30],-0.892,0.606,-1.973,0.289,0.02,0.014,906.0,687.0,
736,z_prevresp|participant_id_offset[31],-0.1,0.669,-1.499,1.01,0.024,0.017,808.0,944.0,
737,z_prevresp|participant_id_offset[32],3.753,0.655,2.511,4.993,0.022,0.015,913.0,981.0,
738,z_prevresp|participant_id_offset[33],1.951,0.627,0.725,3.043,0.022,0.016,802.0,891.0,
739,z_prevresp|participant_id_offset[34],1.261,0.633,0.087,2.407,0.021,0.015,926.0,929.0,
740,z_prevresp|participant_id_offset[35],-0.247,0.742,-1.696,1.023,0.026,0.018,813.0,800.0,
741,z_prevresp|participant_id_offset[36],-1.313,0.746,-2.699,0.036,0.023,0.016,1018.0,905.0,
742,z_prevresp|participant_id_offset[37],0.009,0.64,-1.217,1.171,0.019,0.014,1128.0,1060.0,
743,z_prevresp|participant_id_offset[38],0.148,0.608,-0.932,1.36,0.02,0.014,903.0,940.0,
744,z_prevresp|participant_id_offset[39],0.815,0.652,-0.267,2.14,0.021,0.015,952.0,955.0,
745,z_prevresp|participant_id_offset[40],1.438,0.626,0.18,2.557,0.022,0.016,810.0,937.0,
746,z_prevresp|participant_id_offset[41],0.721,0.594,-0.317,1.927,0.019,0.015,995.0,820.0,
747,z_prevresp|participant_id_offset[42],1.366,0.76,-0.066,2.784,0.024,0.017,1023.0,983.0,
748,z_prevresp|participant_id_offset[43],0.507,0.692,-0.937,1.715,0.023,0.018,924.0,981.0,
749,z_prevresp|participant_id_offset[44],0.039,0.752,-1.277,1.55,0.025,0.018,942.0,1069.0,
750,z_prevresp|participant_id_offset[45],0.5,0.631,-0.7,1.649,0.02,0.014,997.0,1069.0,
751,z_prevresp|participant_id_offset[46],-1.177,0.635,-2.342,0.013,0.02,0.014,1035.0,885.0,
752,z_prevresp|participant_id_offset[47],-0.794,0.741,-2.106,0.639,0.022,0.016,1099.0,933.0,
753,z_prevresp|participant_id_offset[48],-1.134,0.594,-2.284,-0.057,0.019,0.014,959.0,847.0,
754,z_prevresp|participant_id_offset[49],-0.014,0.598,-1.121,1.104,0.019,0.014,1030.0,867.0,
755,z_prevresp|participant_id_offset[50],0.73,0.623,-0.461,1.801,0.02,0.017,979.0,643.0,
756,z_prevresp|participant_id_offset[51],-0.843,0.731,-2.297,0.389,0.023,0.016,996.0,983.0,
757,z_prevresp|participant_id_offset[52],-0.354,0.749,-1.703,1.034,0.024,0.017,965.0,852.0,
758,z_prevresp|participant_id_offset[53],-0.125,0.706,-1.486,1.102,0.022,0.016,1038.0,964.0,
759,z_prevresp|participant_id_offset[54],-1.765,0.671,-3.05,-0.537,0.02,0.014,1142.0,1035.0,
760,z_prevresp|participant_id_offset[55],-0.36,0.718,-1.67,0.889,0.024,0.017,906.0,904.0,
761,z_prevresp|participant_id_offset[56],-0.426,0.756,-1.848,0.979,0.024,0.018,1023.0,916.0,
762,z_prevresp|participant_id_offset[57],1.002,0.747,-0.306,2.463,0.023,0.016,1075.0,785.0,
763,z_prevresp|participant_id_offset[58],0.549,0.73,-0.848,1.893,0.023,0.016,1051.0,1025.0,
764,z_prevresp|participant_id_offset[59],0.502,0.742,-0.737,1.964,0.026,0.018,851.0,800.0,
765,z_prevresp|participant_id_offset[60],-2.925,0.606,-3.999,-1.835,0.02,0.014,952.0,939.0,
766,z_prevresp|participant_id_offset[61],0.903,0.616,-0.24,2.019,0.021,0.015,887.0,903.0,
767,z_prevresp|participant_id_offset[62],-0.852,0.604,-1.91,0.359,0.02,0.014,891.0,923.0,
768,z_prevresp|participant_id_offset[63],0.108,0.626,-1.075,1.261,0.021,0.015,859.0,856.0,
769,z_prevresp|participant_id_offset[64],-1.031,0.629,-2.173,0.108,0.02,0.015,981.0,592.0,
770,z_prevresp|participant_id_offset[65],-0.431,0.749,-1.825,0.938,0.023,0.017,1026.0,923.0,
771,z_prevresp|participant_id_offset[66],0.742,0.635,-0.482,1.921,0.019,0.014,1078.0,983.0,
772,z_prevresp|participant_id_offset[67],-1.391,0.683,-2.759,-0.11,0.024,0.017,825.0,733.0,
773,z_prevresp|participant_id_offset[68],-0.18,0.629,-1.338,0.939,0.024,0.017,669.0,921.0,
774,z_prevresp|participant_id_offset[69],0.716,0.602,-0.392,1.808,0.02,0.015,894.0,905.0,
775,a_1|participant_id_offset[1],0.219,0.243,-0.262,0.644,0.008,0.006,1029.0,905.0,
776,a_1|participant_id_offset[2],1.433,0.22,1.02,1.839,0.007,0.005,984.0,791.0,
777,a_1|participant_id_offset[3],1.435,0.237,1.032,1.94,0.007,0.005,1014.0,1015.0,
778,a_1|participant_id_offset[4],-1.05,0.278,-1.575,-0.54,0.009,0.006,1020.0,972.0,
779,a_1|participant_id_offset[5],1.849,0.219,1.455,2.26,0.007,0.005,989.0,967.0,
780,a_1|participant_id_offset[6],-1.193,0.293,-1.75,-0.681,0.01,0.007,945.0,986.0,
781,a_1|participant_id_offset[7],0.724,0.258,0.228,1.211,0.009,0.006,922.0,748.0,
782,a_1|participant_id_offset[8],2.101,0.246,1.645,2.563,0.008,0.006,883.0,984.0,
783,a_1|participant_id_offset[9],2.057,0.275,1.556,2.563,0.01,0.007,815.0,972.0,
784,a_1|participant_id_offset[10],1.7,0.271,1.202,2.202,0.009,0.006,1004.0,899.0,
785,a_1|participant_id_offset[11],0.648,0.228,0.208,1.046,0.007,0.005,1008.0,949.0,
786,a_1|participant_id_offset[12],1.841,0.215,1.413,2.211,0.007,0.005,882.0,890.0,
787,a_1|participant_id_offset[13],1.114,0.228,0.651,1.506,0.007,0.005,1002.0,980.0,
788,a_1|participant_id_offset[14],-3.181,0.38,-3.897,-2.472,0.012,0.009,934.0,1038.0,
789,a_1|participant_id_offset[15],-1.652,0.345,-2.321,-1.015,0.011,0.008,998.0,936.0,
790,a_1|participant_id_offset[16],0.155,0.247,-0.295,0.616,0.008,0.006,933.0,949.0,
791,a_1|participant_id_offset[17],-0.285,0.265,-0.785,0.22,0.008,0.006,1012.0,1031.0,
792,a_1|participant_id_offset[18],1.836,0.223,1.464,2.296,0.008,0.006,812.0,800.0,
793,a_1|participant_id_offset[19],1.152,0.246,0.689,1.618,0.008,0.006,954.0,786.0,
794,a_1|participant_id_offset[20],0.81,0.22,0.362,1.209,0.007,0.005,904.0,849.0,
795,a_1|participant_id_offset[21],1.018,0.237,0.574,1.46,0.008,0.005,937.0,875.0,
796,a_1|participant_id_offset[22],1.254,0.222,0.823,1.663,0.007,0.005,948.0,914.0,
797,a_1|participant_id_offset[23],0.07,0.238,-0.364,0.51,0.008,0.006,891.0,786.0,
798,a_1|participant_id_offset[24],-0.093,0.252,-0.576,0.366,0.008,0.006,998.0,941.0,
799,a_1|participant_id_offset[25],1.873,0.225,1.435,2.282,0.007,0.005,904.0,813.0,
800,a_1|participant_id_offset[26],1.137,0.239,0.695,1.602,0.007,0.005,1021.0,1026.0,
801,a_1|participant_id_offset[27],-1.163,0.275,-1.701,-0.67,0.009,0.006,964.0,926.0,
802,a_1|participant_id_offset[28],0.732,0.228,0.287,1.151,0.007,0.005,965.0,915.0,
803,a_1|participant_id_offset[29],0.944,0.22,0.546,1.383,0.007,0.005,1023.0,1033.0,
