,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
316,z_prevresp|participant_id_offset[34],1.258,0.785,-0.159,2.674,0.026,0.018,916.0,852.0,
317,z_prevresp|participant_id_offset[35],-0.496,0.897,-2.04,1.252,0.031,0.022,838.0,852.0,
318,z_prevresp|participant_id_offset[36],-1.484,0.853,-2.986,0.186,0.027,0.019,977.0,842.0,
319,z_prevresp|participant_id_offset[37],-0.614,1.061,-2.57,1.336,0.036,0.026,842.0,850.0,
320,z_prevresp|participant_id_offset[38],0.124,0.783,-1.259,1.586,0.026,0.018,934.0,1021.0,
321,z_prevresp|participant_id_offset[39],0.402,0.796,-1.162,1.8,0.026,0.018,955.0,1069.0,
322,z_prevresp|participant_id_offset[40],1.391,0.799,-0.101,2.878,0.025,0.017,1051.0,940.0,
323,z_prevresp|participant_id_offset[41],1.243,0.725,-0.037,2.678,0.024,0.017,915.0,816.0,
324,z_prevresp|participant_id_offset[42],0.83,0.907,-0.743,2.639,0.03,0.021,938.0,992.0,
325,z_prevresp|participant_id_offset[43],1.209,0.938,-0.588,2.85,0.029,0.021,1025.0,990.0,
326,z_prevresp|participant_id_offset[44],0.552,0.876,-1.132,2.159,0.031,0.022,795.0,945.0,
327,z_prevresp|participant_id_offset[45],0.269,0.811,-1.31,1.73,0.028,0.02,845.0,857.0,
328,z_prevresp|participant_id_offset[46],-0.807,0.814,-2.165,0.865,0.026,0.019,951.0,944.0,
329,z_prevresp|participant_id_offset[47],-0.95,0.838,-2.465,0.48,0.026,0.018,1035.0,952.0,
330,z_prevresp|participant_id_offset[48],-0.198,0.803,-1.694,1.276,0.028,0.02,839.0,877.0,
331,z_prevresp|participant_id_offset[49],-0.01,0.797,-1.669,1.312,0.025,0.018,1059.0,943.0,
332,z_prevresp|participant_id_offset[50],-0.348,0.748,-1.685,1.12,0.025,0.018,932.0,957.0,
333,z_prevresp|participant_id_offset[51],-0.871,0.876,-2.495,0.77,0.03,0.021,866.0,988.0,
334,z_prevresp|participant_id_offset[52],-0.886,0.847,-2.718,0.554,0.027,0.019,987.0,730.0,
335,z_prevresp|participant_id_offset[53],0.165,0.817,-1.184,1.892,0.027,0.019,923.0,934.0,
336,z_prevresp|participant_id_offset[54],-1.623,0.831,-3.136,-0.041,0.032,0.023,674.0,944.0,
