,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
573,a_1|participant_id_offset[6],-0.409,0.529,-1.327,0.645,0.018,0.014,857.0,826.0,
574,a_1|participant_id_offset[7],1.172,0.498,0.247,2.131,0.017,0.012,888.0,943.0,
575,a_1|participant_id_offset[8],2.681,0.527,1.719,3.634,0.017,0.012,981.0,842.0,
576,a_1|participant_id_offset[9],2.273,0.508,1.391,3.291,0.016,0.012,972.0,784.0,
577,a_1|participant_id_offset[10],2.075,0.522,1.12,3.091,0.017,0.012,992.0,942.0,
578,a_1|participant_id_offset[11],1.157,0.493,0.269,2.134,0.016,0.011,956.0,940.0,
579,a_1|participant_id_offset[12],2.153,0.489,1.199,3.023,0.015,0.011,1017.0,871.0,
580,a_1|participant_id_offset[13],1.66,0.521,0.733,2.688,0.018,0.013,853.0,841.0,
581,a_1|participant_id_offset[14],-2.892,0.604,-4.055,-1.741,0.023,0.016,705.0,791.0,
582,a_1|participant_id_offset[15],-2.041,0.575,-3.146,-0.961,0.021,0.015,712.0,848.0,
583,a_1|participant_id_offset[16],0.449,0.51,-0.532,1.367,0.017,0.012,910.0,859.0,
584,a_1|participant_id_offset[17],0.019,0.503,-0.961,0.951,0.017,0.012,836.0,934.0,
585,a_1|participant_id_offset[18],2.407,0.505,1.453,3.349,0.016,0.011,1036.0,881.0,
586,a_1|participant_id_offset[19],1.529,0.505,0.551,2.423,0.016,0.011,1052.0,972.0,
587,a_1|participant_id_offset[20],2.029,0.764,0.702,3.448,0.025,0.018,960.0,804.0,
588,a_1|participant_id_offset[21],1.419,0.503,0.476,2.376,0.016,0.011,1021.0,937.0,
589,a_1|participant_id_offset[22],1.567,0.506,0.641,2.534,0.017,0.012,928.0,981.0,
590,a_1|participant_id_offset[23],0.364,0.555,-0.683,1.339,0.018,0.013,918.0,868.0,
591,a_1|participant_id_offset[24],0.296,0.513,-0.643,1.285,0.017,0.012,947.0,1023.0,
592,a_1|participant_id_offset[25],2.278,0.498,1.41,3.274,0.016,0.011,1032.0,941.0,
593,a_1|participant_id_offset[26],1.291,0.501,0.379,2.218,0.016,0.012,940.0,850.0,
594,a_1|participant_id_offset[27],-0.643,0.52,-1.541,0.45,0.018,0.013,869.0,1017.0,
595,a_1|participant_id_offset[28],1.087,0.494,0.167,2.055,0.015,0.011,1028.0,907.0,
596,a_1|participant_id_offset[29],1.471,0.49,0.575,2.441,0.016,0.011,998.0,943.0,
597,a_1|participant_id_offset[30],2.36,0.511,1.433,3.275,0.016,0.012,1002.0,883.0,
598,a_1|participant_id_offset[31],0.089,0.511,-0.903,0.987,0.017,0.012,901.0,936.0,
599,a_1|participant_id_offset[32],-3.65,0.635,-4.927,-2.527,0.02,0.014,964.0,915.0,
600,a_1|participant_id_offset[33],-2.379,0.586,-3.486,-1.275,0.02,0.014,855.0,858.0,
601,a_1|participant_id_offset[34],-2.867,0.593,-4.024,-1.707,0.021,0.015,798.0,879.0,
602,a_1|participant_id_offset[35],1.219,0.498,0.352,2.237,0.015,0.011,1094.0,890.0,
603,a_1|participant_id_offset[36],1.885,0.503,1.0,2.856,0.016,0.012,946.0,906.0,
604,a_1|participant_id_offset[37],-0.301,0.513,-1.313,0.592,0.016,0.012,971.0,881.0,
605,a_1|participant_id_offset[38],0.05,0.505,-0.897,1.026,0.017,0.013,880.0,881.0,
606,a_1|participant_id_offset[39],-1.307,0.54,-2.393,-0.309,0.018,0.013,911.0,941.0,
607,a_1|participant_id_offset[40],1.799,0.506,0.908,2.776,0.016,0.011,1009.0,978.0,
608,a_1|participant_id_offset[41],1.553,0.495,0.61,2.451,0.015,0.011,1026.0,906.0,
609,a_1|participant_id_offset[42],1.851,0.493,0.883,2.737,0.015,0.011,1018.0,937.0,
610,a_1|participant_id_offset[43],-1.609,0.553,-2.642,-0.596,0.018,0.012,965.0,969.0,
611,a_1|participant_id_offset[44],1.71,0.502,0.781,2.637,0.016,0.011,1010.0,898.0,
612,a_1|participant_id_offset[45],0.784,0.5,-0.153,1.704,0.016,0.011,1014.0,940.0,
613,a_1|participant_id_offset[46],1.35,0.491,0.404,2.204,0.015,0.011,1048.0,822.0,
614,a_1|participant_id_offset[47],1.71,0.49,0.798,2.617,0.016,0.011,961.0,941.0,
615,a_1|participant_id_offset[48],2.302,0.518,1.317,3.229,0.016,0.012,1003.0,947.0,
616,a_1|participant_id_offset[49],2.257,0.509,1.346,3.264,0.016,0.011,1061.0,925.0,
617,a_1|participant_id_offset[50],-1.171,0.524,-2.21,-0.257,0.017,0.012,978.0,936.0,
618,a_1|participant_id_offset[51],1.159,0.512,0.12,2.126,0.016,0.012,992.0,760.0,
619,a_1|participant_id_offset[52],2.036,0.503,1.093,2.953,0.016,0.011,1014.0,983.0,
620,a_1|participant_id_offset[53],1.772,0.491,0.863,2.667,0.015,0.011,1033.0,979.0,
621,a_1|participant_id_offset[54],1.443,0.503,0.552,2.369,0.016,0.011,1026.0,859.0,
622,a_1|participant_id_offset[55],0.236,0.509,-0.654,1.238,0.016,0.012,1022.0,942.0,
623,a_1|participant_id_offset[56],2.347,0.517,1.435,3.343,0.016,0.011,1064.0,944.0,
624,a_1|participant_id_offset[57],1.061,0.502,0.129,1.938,0.016,0.012,976.0,846.0,
625,a_1|participant_id_offset[58],2.755,0.527,1.795,3.754,0.017,0.012,1010.0,880.0,
626,a_1|participant_id_offset[59],-0.037,0.508,-1.031,0.864,0.017,0.012,926.0,931.0,
627,a_1|participant_id_offset[60],1.429,0.505,0.501,2.352,0.017,0.012,871.0,926.0,
628,a_1|participant_id_offset[61],-0.862,0.516,-1.837,0.119,0.018,0.013,797.0,942.0,
629,a_1|participant_id_offset[62],1.812,0.492,0.897,2.709,0.015,0.011,1025.0,942.0,
630,a_1|participant_id_offset[63],0.731,0.494,-0.247,1.599,0.016,0.011,997.0,814.0,
631,a_1|participant_id_offset[64],0.812,0.494,-0.062,1.744,0.016,0.011,981.0,907.0,
632,a_1|participant_id_offset[65],2.689,0.519,1.738,3.666,0.016,0.011,1073.0,970.0,
633,a_1|participant_id_offset[66],1.458,0.497,0.526,2.404,0.015,0.011,1049.0,946.0,
634,a_1|participant_id_offset[67],1.981,0.507,1.064,2.897,0.016,0.011,1068.0,1024.0,
635,a_1|participant_id_offset[68],0.265,0.505,-0.654,1.236,0.016,0.012,1046.0,939.0,
636,a_1|participant_id_offset[69],0.144,0.689,-1.115,1.431,0.022,0.016,971.0,988.0,
637,v_signed_contrast|participant_id_sigma,0.018,0.003,0.013,0.023,0.0,0.0,1052.0,1026.0,
638,alpha_Intercept,5.373,0.495,4.547,6.391,0.016,0.011,977.0,905.0,
639,v_1|participant_id_sigma,0.346,0.015,0.32,0.374,0.0,0.0,1060.0,1026.0,
640,v_1|participant_id[1],-1.116,0.114,-1.34,-0.916,0.003,0.002,1154.0,1025.0,
641,v_1|participant_id[2],0.111,0.104,-0.089,0.3,0.003,0.002,961.0,932.0,
642,v_1|participant_id[3],-0.324,0.104,-0.511,-0.125,0.003,0.002,1012.0,887.0,
643,v_1|participant_id[4],0.34,0.107,0.128,0.525,0.003,0.002,1069.0,944.0,
644,v_1|participant_id[5],0.371,0.101,0.196,0.571,0.003,0.002,1074.0,834.0,
645,v_1|participant_id[6],0.428,0.127,0.211,0.686,0.004,0.003,971.0,990.0,
646,v_1|participant_id[7],0.412,0.103,0.234,0.621,0.003,0.002,1034.0,975.0,
647,v_1|participant_id[8],-0.136,0.113,-0.36,0.061,0.004,0.003,972.0,907.0,
648,v_1|participant_id[9],-0.505,0.115,-0.713,-0.295,0.003,0.002,1105.0,935.0,
649,v_1|participant_id[10],0.041,0.118,-0.184,0.255,0.004,0.003,1092.0,903.0,
650,v_1|participant_id[11],-0.038,0.105,-0.232,0.158,0.003,0.002,958.0,915.0,
651,v_1|participant_id[12],-0.156,0.096,-0.326,0.022,0.003,0.002,1041.0,741.0,
652,v_1|participant_id[13],0.253,0.177,-0.089,0.577,0.006,0.004,888.0,1020.0,
653,v_1|participant_id[14],-1.551,0.121,-1.786,-1.323,0.004,0.003,908.0,847.0,
654,v_1|participant_id[15],0.857,0.18,0.541,1.209,0.006,0.004,1019.0,979.0,
655,v_1|participant_id[16],-0.552,0.128,-0.763,-0.291,0.004,0.003,1079.0,915.0,
656,v_1|participant_id[17],-0.171,0.116,-0.39,0.038,0.004,0.003,1064.0,1013.0,
657,v_1|participant_id[18],0.145,0.101,-0.047,0.327,0.003,0.002,1048.0,1024.0,
658,v_1|participant_id[19],0.513,0.105,0.32,0.718,0.003,0.002,1080.0,875.0,
659,v_1|participant_id[20],0.818,0.58,-0.419,1.765,0.018,0.013,1076.0,912.0,
660,v_1|participant_id[21],-0.161,0.138,-0.419,0.105,0.004,0.003,1031.0,881.0,
661,v_1|participant_id[22],-0.06,0.107,-0.263,0.13,0.003,0.002,1043.0,940.0,
662,v_1|participant_id[23],-0.132,0.149,-0.392,0.154,0.005,0.003,1047.0,908.0,
663,v_1|participant_id[24],0.151,0.113,-0.075,0.348,0.004,0.003,1015.0,814.0,
664,v_1|participant_id[25],0.231,0.099,0.05,0.418,0.003,0.002,1010.0,833.0,
665,v_1|participant_id[26],1.341,0.108,1.158,1.562,0.004,0.003,934.0,890.0,
666,v_1|participant_id[27],-0.491,0.351,-1.191,0.104,0.011,0.008,950.0,876.0,
667,v_1|participant_id[28],-0.408,0.105,-0.601,-0.212,0.003,0.002,934.0,858.0,
668,v_1|participant_id[29],0.33,0.1,0.143,0.516,0.003,0.002,903.0,944.0,
669,v_1|participant_id[30],-0.531,0.109,-0.736,-0.336,0.003,0.002,993.0,865.0,
670,v_1|participant_id[31],-0.405,0.152,-0.672,-0.098,0.005,0.003,978.0,813.0,
671,v_1|participant_id[32],-0.184,0.111,-0.405,0.014,0.004,0.003,918.0,809.0,
672,v_1|participant_id[33],-0.868,0.113,-1.092,-0.66,0.003,0.002,1082.0,920.0,
673,v_1|participant_id[34],0.288,0.112,0.078,0.498,0.004,0.003,992.0,944.0,
674,v_1|participant_id[35],-0.53,0.122,-0.741,-0.29,0.004,0.003,1057.0,981.0,
675,v_1|participant_id[36],-0.367,0.104,-0.559,-0.18,0.003,0.002,1039.0,975.0,
676,v_1|participant_id[37],1.517,0.127,1.273,1.74,0.004,0.003,958.0,1020.0,
677,v_1|participant_id[38],-0.47,0.108,-0.682,-0.286,0.003,0.002,1019.0,819.0,
678,v_1|participant_id[39],0.791,0.112,0.596,1.012,0.004,0.003,987.0,783.0,
679,v_1|participant_id[40],0.084,0.099,-0.082,0.277,0.003,0.002,1044.0,1021.0,
680,v_1|participant_id[41],0.236,0.097,0.058,0.422,0.003,0.002,1082.0,812.0,
681,v_1|participant_id[42],-0.374,0.105,-0.585,-0.186,0.003,0.002,1059.0,941.0,
682,v_1|participant_id[43],0.042,0.127,-0.194,0.285,0.004,0.003,1031.0,975.0,
683,v_1|participant_id[44],0.14,0.111,-0.077,0.342,0.003,0.002,1043.0,981.0,
684,v_1|participant_id[45],0.164,0.102,-0.036,0.353,0.003,0.003,840.0,981.0,
685,v_1|participant_id[46],-0.172,0.104,-0.373,0.012,0.003,0.002,995.0,847.0,
686,v_1|participant_id[47],-0.009,0.106,-0.177,0.211,0.003,0.003,1110.0,916.0,
687,v_1|participant_id[48],0.243,0.1,0.048,0.428,0.003,0.002,1015.0,910.0,
688,v_1|participant_id[49],0.171,0.099,-0.005,0.37,0.003,0.002,964.0,842.0,
689,v_1|participant_id[50],0.607,0.107,0.41,0.807,0.003,0.002,961.0,864.0,
690,v_1|participant_id[51],0.019,0.118,-0.21,0.233,0.004,0.003,835.0,716.0,
691,v_1|participant_id[52],-0.109,0.104,-0.303,0.075,0.003,0.002,1047.0,809.0,
692,v_1|participant_id[53],0.176,0.106,-0.022,0.364,0.003,0.002,1064.0,843.0,
693,v_1|participant_id[54],0.048,0.105,-0.145,0.242,0.003,0.002,1118.0,949.0,
694,v_1|participant_id[55],0.02,0.114,-0.19,0.238,0.003,0.003,1077.0,914.0,
695,v_1|participant_id[56],0.321,0.103,0.136,0.525,0.003,0.002,1071.0,880.0,
696,v_1|participant_id[57],-0.304,0.11,-0.5,-0.099,0.004,0.003,949.0,894.0,
697,v_1|participant_id[58],0.027,0.103,-0.154,0.231,0.003,0.002,982.0,878.0,
698,v_1|participant_id[59],-0.771,0.115,-1.006,-0.569,0.004,0.003,1039.0,614.0,
699,v_1|participant_id[60],-0.218,0.109,-0.412,-0.009,0.003,0.002,998.0,978.0,
700,v_1|participant_id[61],-0.337,0.105,-0.545,-0.15,0.003,0.002,974.0,912.0,
701,v_1|participant_id[62],0.019,0.104,-0.157,0.215,0.003,0.003,1077.0,743.0,
702,v_1|participant_id[63],-0.676,0.104,-0.86,-0.471,0.003,0.002,1123.0,973.0,
703,v_1|participant_id[64],0.405,0.102,0.218,0.601,0.003,0.002,1034.0,820.0,
704,v_1|participant_id[65],-0.195,0.11,-0.386,0.014,0.003,0.002,1045.0,1016.0,
705,v_1|participant_id[66],-0.612,0.533,-1.582,0.365,0.017,0.012,994.0,1068.0,
706,v_1|participant_id[67],-0.29,0.108,-0.489,-0.09,0.003,0.002,1119.0,889.0,
707,v_1|participant_id[68],0.126,0.126,-0.127,0.348,0.004,0.003,1051.0,941.0,
708,v_1|participant_id[69],-0.445,0.127,-0.666,-0.196,0.004,0.003,1029.0,792.0,
709,beta_1|participant_id_mu,-0.014,0.324,-0.648,0.544,0.01,0.008,965.0,1069.0,
710,z_1|participant_id[1],0.053,0.109,-0.147,0.254,0.003,0.002,982.0,1023.0,
711,z_1|participant_id[2],-0.482,0.115,-0.676,-0.25,0.004,0.003,954.0,1021.0,
712,z_1|participant_id[3],0.182,0.122,-0.045,0.41,0.004,0.003,880.0,906.0,
