Model,LOO,WAIC
angle_nohist,-9048989.969280556,-39250110.43405776
angle_prevresp_v,-9063638.885055223,-38443540.40519144
angle_prevresp_z,-9062894.369235696,-40331148.38153413
angle_prevresp_zv,-9078229.863069093,-39638130.9184164
weibull_nohist,-9070798.12169653,-27068014.19911852
weibull_prevresp_v,-9132532.014680166,-30975055.17059233
weibull_prevresp_z,-9089741.977219796,-31500270.08841057
weibull_prevresp_zv,-9129198.64435975,-29214639.909600683
