,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
135,z_1|participant_id_offset[62],-0.39,0.87,-2.142,1.109,0.027,0.02,1008.0,909.0,
136,z_1|participant_id_offset[63],-0.534,0.687,-1.737,0.835,0.023,0.016,868.0,915.0,
137,z_1|participant_id_offset[64],-1.075,0.715,-2.37,0.255,0.023,0.016,969.0,881.0,
138,z_1|participant_id_offset[65],0.626,0.735,-0.857,1.95,0.023,0.016,1049.0,766.0,
139,z_1|participant_id_offset[66],-0.085,1.064,-1.985,1.821,0.037,0.026,816.0,941.0,
140,z_1|participant_id_offset[67],-0.488,0.813,-1.913,1.066,0.024,0.019,1147.0,1070.0,
141,z_1|participant_id_offset[68],-0.454,0.836,-2.04,1.142,0.027,0.021,937.0,841.0,
142,z_1|participant_id_offset[69],-0.502,0.913,-2.225,1.166,0.029,0.021,969.0,932.0,
143,v_signed_contrast|participant_id[1],-0.269,0.372,-0.99,0.105,0.012,0.009,880.0,852.0,
144,v_signed_contrast|participant_id[2],-0.061,0.378,-0.595,0.516,0.012,0.008,1048.0,944.0,
145,v_signed_contrast|participant_id[3],-0.157,0.31,-0.732,0.363,0.01,0.007,912.0,942.0,
146,v_signed_contrast|participant_id[4],-0.074,0.5,-0.712,0.48,0.016,0.011,934.0,880.0,
147,v_signed_contrast|participant_id[5],-0.077,0.404,-0.661,0.655,0.012,0.009,979.0,1078.0,
148,v_signed_contrast|participant_id[6],-0.076,0.264,-0.59,0.387,0.009,0.006,924.0,848.0,
149,v_signed_contrast|participant_id[7],-0.172,0.339,-0.921,0.34,0.011,0.008,975.0,983.0,
150,v_signed_contrast|participant_id[8],-0.071,0.338,-0.707,0.425,0.011,0.008,917.0,894.0,
151,v_signed_contrast|participant_id[9],-0.042,0.356,-0.602,0.576,0.011,0.008,961.0,942.0,
152,v_signed_contrast|participant_id[10],-0.086,0.354,-0.762,0.408,0.011,0.008,1046.0,939.0,
153,v_signed_contrast|participant_id[11],-0.065,0.403,-0.768,0.459,0.012,0.009,1076.0,1024.0,
154,v_signed_contrast|participant_id[12],-0.173,0.418,-0.868,0.435,0.013,0.01,905.0,944.0,
155,v_signed_contrast|participant_id[13],-0.088,0.323,-0.688,0.351,0.01,0.007,866.0,982.0,
156,v_signed_contrast|participant_id[14],-0.203,0.373,-0.83,0.27,0.012,0.009,839.0,964.0,
157,v_signed_contrast|participant_id[15],-0.166,0.353,-0.846,0.277,0.011,0.008,978.0,916.0,
158,v_signed_contrast|participant_id[16],-0.186,0.332,-0.833,0.263,0.012,0.008,954.0,884.0,
159,v_signed_contrast|participant_id[17],-0.195,0.406,-0.757,0.387,0.013,0.009,1098.0,885.0,
160,v_signed_contrast|participant_id[18],-0.137,0.563,-0.995,0.417,0.017,0.013,1001.0,937.0,
161,v_signed_contrast|participant_id[19],-0.119,0.304,-0.728,0.413,0.01,0.007,1014.0,915.0,
162,v_signed_contrast|participant_id[20],-0.007,0.251,-0.449,0.439,0.008,0.005,1051.0,789.0,
163,v_signed_contrast|participant_id[21],-0.17,0.381,-0.707,0.341,0.011,0.009,1098.0,1025.0,
164,v_signed_contrast|participant_id[22],-0.14,0.373,-0.806,0.381,0.012,0.009,955.0,823.0,
165,v_signed_contrast|participant_id[23],-0.117,0.341,-0.6,0.544,0.01,0.008,1092.0,1013.0,
166,v_signed_contrast|participant_id[24],-0.081,0.382,-0.672,0.473,0.012,0.008,1127.0,1026.0,
167,v_signed_contrast|participant_id[25],-0.103,0.507,-0.754,0.575,0.016,0.011,888.0,988.0,
168,v_signed_contrast|participant_id[26],-0.366,0.636,-1.115,0.061,0.02,0.014,919.0,1072.0,
169,v_signed_contrast|participant_id[27],-0.112,0.361,-0.712,0.415,0.011,0.008,1136.0,1070.0,
170,v_signed_contrast|participant_id[28],-0.178,0.426,-0.889,0.314,0.013,0.009,978.0,822.0,
171,v_signed_contrast|participant_id[29],-0.091,0.486,-0.717,0.494,0.015,0.011,891.0,994.0,
172,v_signed_contrast|participant_id[30],-0.057,0.341,-0.623,0.402,0.01,0.008,959.0,983.0,
173,v_signed_contrast|participant_id[31],-0.073,0.307,-0.602,0.43,0.01,0.007,1006.0,935.0,
174,v_signed_contrast|participant_id[32],-0.121,0.345,-0.758,0.505,0.011,0.008,999.0,908.0,
175,v_signed_contrast|participant_id[33],-0.204,0.354,-0.898,0.276,0.012,0.008,810.0,995.0,
176,v_signed_contrast|participant_id[34],-0.114,0.421,-0.817,0.469,0.013,0.009,1044.0,990.0,
177,v_signed_contrast|participant_id[35],-0.197,0.355,-0.929,0.197,0.011,0.008,1056.0,983.0,
178,v_signed_contrast|participant_id[36],-0.085,0.367,-0.722,0.483,0.012,0.008,927.0,945.0,
179,v_signed_contrast|participant_id[37],-0.185,0.348,-0.854,0.223,0.012,0.008,969.0,945.0,
180,v_signed_contrast|participant_id[38],-0.084,0.525,-0.677,0.506,0.016,0.012,1045.0,972.0,
181,v_signed_contrast|participant_id[39],-0.267,0.421,-1.091,0.227,0.013,0.009,921.0,944.0,
182,v_signed_contrast|participant_id[40],-0.094,0.331,-0.706,0.362,0.01,0.007,1024.0,1023.0,
183,v_signed_contrast|participant_id[41],-0.212,0.465,-0.837,0.461,0.015,0.01,989.0,975.0,
184,v_signed_contrast|participant_id[42],-0.093,0.418,-0.755,0.423,0.013,0.009,932.0,895.0,
185,v_signed_contrast|participant_id[43],-0.205,0.407,-0.878,0.455,0.013,0.01,880.0,947.0,
186,v_signed_contrast|participant_id[44],-0.121,0.306,-0.725,0.325,0.01,0.007,916.0,882.0,
187,v_signed_contrast|participant_id[45],-0.146,0.436,-0.808,0.477,0.014,0.01,1002.0,952.0,
188,v_signed_contrast|participant_id[46],-0.1,0.356,-0.703,0.336,0.011,0.008,970.0,952.0,
189,v_signed_contrast|participant_id[47],-0.081,0.48,-0.661,0.501,0.015,0.011,1000.0,1025.0,
190,v_signed_contrast|participant_id[48],-0.096,0.478,-0.768,0.551,0.015,0.011,932.0,982.0,
191,v_signed_contrast|participant_id[49],-0.063,0.388,-0.639,0.489,0.012,0.009,943.0,923.0,
192,v_signed_contrast|participant_id[50],-0.183,0.351,-0.839,0.309,0.012,0.008,926.0,975.0,
193,v_signed_contrast|participant_id[51],-0.102,0.337,-0.69,0.469,0.011,0.008,882.0,1016.0,
194,v_signed_contrast|participant_id[52],-0.083,0.461,-0.737,0.67,0.015,0.011,940.0,948.0,
195,v_signed_contrast|participant_id[53],-0.109,0.334,-0.815,0.33,0.01,0.007,1060.0,849.0,
196,v_signed_contrast|participant_id[54],-0.098,0.404,-0.801,0.44,0.013,0.009,1037.0,882.0,
197,v_signed_contrast|participant_id[55],-0.073,0.324,-0.642,0.422,0.01,0.007,1100.0,990.0,
198,v_signed_contrast|participant_id[56],-0.079,0.372,-0.776,0.454,0.012,0.009,1052.0,908.0,
199,v_signed_contrast|participant_id[57],-0.123,0.336,-0.831,0.329,0.011,0.008,960.0,975.0,
200,v_signed_contrast|participant_id[58],-0.136,0.391,-0.762,0.447,0.013,0.009,957.0,974.0,
201,v_signed_contrast|participant_id[59],-0.186,0.354,-0.869,0.396,0.011,0.008,962.0,983.0,
202,v_signed_contrast|participant_id[60],-0.159,0.339,-0.818,0.403,0.011,0.008,927.0,951.0,
203,v_signed_contrast|participant_id[61],-0.139,0.424,-0.755,0.525,0.013,0.009,1039.0,983.0,
204,v_signed_contrast|participant_id[62],-0.153,0.447,-0.788,0.491,0.014,0.01,1011.0,949.0,
205,v_signed_contrast|participant_id[63],-0.12,0.426,-0.821,0.385,0.013,0.009,862.0,845.0,
206,v_signed_contrast|participant_id[64],-0.131,0.387,-0.867,0.423,0.013,0.009,957.0,990.0,
207,v_signed_contrast|participant_id[65],-0.11,0.44,-0.801,0.619,0.014,0.01,810.0,941.0,
208,v_signed_contrast|participant_id[66],-0.041,0.287,-0.561,0.416,0.009,0.007,823.0,1024.0,
209,v_signed_contrast|participant_id[67],-0.089,0.346,-0.851,0.401,0.011,0.008,992.0,916.0,
210,v_signed_contrast|participant_id[68],-0.069,0.357,-0.621,0.565,0.011,0.008,1024.0,912.0,
211,v_signed_contrast|participant_id[69],-0.076,0.371,-0.701,0.468,0.012,0.008,991.0,954.0,
212,v_prevresp|participant_id[1],-0.675,0.642,-1.833,0.196,0.021,0.015,925.0,904.0,
213,v_prevresp|participant_id[2],0.078,0.254,-0.433,0.581,0.008,0.006,1057.0,904.0,
214,v_prevresp|participant_id[3],-0.076,0.361,-0.754,0.617,0.012,0.008,965.0,813.0,
215,v_prevresp|participant_id[4],0.284,0.521,-0.567,1.245,0.016,0.011,1000.0,1064.0,
216,v_prevresp|participant_id[5],-0.359,0.404,-1.235,0.229,0.014,0.01,870.0,860.0,
217,v_prevresp|participant_id[6],0.185,0.498,-0.685,1.126,0.016,0.011,1028.0,939.0,
218,v_prevresp|participant_id[7],0.177,0.5,-0.673,1.171,0.016,0.011,988.0,820.0,
219,v_prevresp|participant_id[8],0.104,0.419,-0.653,0.872,0.013,0.009,994.0,983.0,
220,v_prevresp|participant_id[9],-0.404,0.434,-1.374,0.225,0.013,0.01,1126.0,973.0,
221,v_prevresp|participant_id[10],-0.034,0.314,-0.614,0.562,0.01,0.007,904.0,916.0,
222,v_prevresp|participant_id[11],-0.456,0.389,-1.198,0.215,0.013,0.009,908.0,983.0,
223,v_prevresp|participant_id[12],-0.35,0.364,-1.203,0.223,0.012,0.008,972.0,1066.0,
224,v_prevresp|participant_id[13],-0.135,0.44,-0.933,0.634,0.014,0.01,957.0,873.0,
225,v_prevresp|participant_id[14],-0.392,0.494,-1.31,0.392,0.016,0.011,1103.0,955.0,
226,v_prevresp|participant_id[15],0.474,0.596,-0.422,1.638,0.019,0.013,1034.0,944.0,
227,v_prevresp|participant_id[16],-0.49,0.634,-1.61,0.415,0.019,0.014,1083.0,1020.0,
228,v_prevresp|participant_id[17],0.889,0.824,-0.167,2.503,0.027,0.019,918.0,848.0,
229,v_prevresp|participant_id[18],-0.453,0.359,-1.082,0.19,0.011,0.009,1100.0,845.0,
230,v_prevresp|participant_id[19],-0.137,0.387,-0.915,0.57,0.012,0.009,1070.0,844.0,
231,v_prevresp|participant_id[20],0.122,0.471,-0.803,1.015,0.015,0.011,940.0,1025.0,
232,v_prevresp|participant_id[21],-0.451,0.545,-1.547,0.329,0.018,0.012,1001.0,1022.0,
233,v_prevresp|participant_id[22],-0.1,0.458,-1.082,0.696,0.015,0.011,951.0,847.0,
234,v_prevresp|participant_id[23],0.125,0.404,-0.593,0.852,0.013,0.009,932.0,763.0,
235,v_prevresp|participant_id[24],-0.069,0.34,-0.689,0.597,0.011,0.009,947.0,939.0,
236,v_prevresp|participant_id[25],-0.183,0.413,-0.913,0.61,0.013,0.01,993.0,925.0,
237,v_prevresp|participant_id[26],1.292,1.065,-0.11,3.303,0.034,0.024,975.0,912.0,
238,v_prevresp|participant_id[27],-0.181,0.42,-0.99,0.568,0.014,0.01,953.0,850.0,
239,v_prevresp|participant_id[28],0.396,0.516,-0.383,1.462,0.016,0.011,1130.0,972.0,
240,v_prevresp|participant_id[29],-0.115,0.301,-0.631,0.474,0.01,0.007,1000.0,944.0,
241,v_prevresp|participant_id[30],-0.266,0.402,-1.009,0.494,0.013,0.009,947.0,978.0,
242,v_prevresp|participant_id[31],-0.29,0.399,-1.019,0.365,0.013,0.01,998.0,905.0,
243,v_prevresp|participant_id[32],0.865,0.706,-0.112,2.247,0.022,0.016,958.0,875.0,
244,v_prevresp|participant_id[33],-0.001,0.448,-0.857,0.819,0.014,0.01,1059.0,873.0,
245,v_prevresp|participant_id[34],0.103,0.414,-0.617,0.853,0.013,0.009,1101.0,929.0,
246,v_prevresp|participant_id[35],-0.185,0.515,-1.034,0.728,0.017,0.012,881.0,748.0,
247,v_prevresp|participant_id[36],-0.116,0.264,-0.599,0.413,0.008,0.006,913.0,961.0,
248,v_prevresp|participant_id[37],0.307,0.412,-0.323,1.13,0.013,0.009,1007.0,717.0,
249,v_prevresp|participant_id[38],-0.417,0.372,-1.17,0.207,0.012,0.009,952.0,975.0,
250,v_prevresp|participant_id[39],1.257,1.117,-0.201,3.224,0.035,0.025,998.0,838.0,
251,v_prevresp|participant_id[40],-0.152,0.466,-1.137,0.593,0.015,0.01,1026.0,875.0,
252,v_prevresp|participant_id[41],0.241,0.517,-0.687,1.138,0.016,0.011,1071.0,909.0,
253,v_prevresp|participant_id[42],0.349,0.289,-0.159,0.898,0.01,0.007,883.0,906.0,
254,v_prevresp|participant_id[43],0.577,0.673,-0.414,1.79,0.022,0.016,876.0,983.0,
255,v_prevresp|participant_id[44],0.361,0.578,-0.471,1.407,0.018,0.013,1067.0,887.0,
256,v_prevresp|participant_id[45],0.093,0.382,-0.606,0.845,0.012,0.009,960.0,992.0,
257,v_prevresp|participant_id[46],0.236,0.528,-0.654,1.278,0.017,0.012,1035.0,942.0,
258,v_prevresp|participant_id[47],-0.265,0.319,-0.884,0.306,0.01,0.008,940.0,737.0,
259,v_prevresp|participant_id[48],-0.259,0.374,-0.964,0.372,0.011,0.008,1135.0,1059.0,
260,v_prevresp|participant_id[49],-0.317,0.369,-1.005,0.303,0.011,0.008,1167.0,1023.0,
261,v_prevresp|participant_id[50],0.461,0.674,-0.505,1.672,0.021,0.015,1079.0,915.0,
262,v_prevresp|participant_id[51],0.203,0.505,-0.646,1.197,0.016,0.012,998.0,898.0,
263,v_prevresp|participant_id[52],-0.026,0.306,-0.609,0.508,0.01,0.007,1009.0,944.0,
264,v_prevresp|participant_id[53],-0.157,0.303,-0.712,0.455,0.01,0.007,968.0,992.0,
265,v_prevresp|participant_id[54],-0.112,0.402,-0.926,0.562,0.013,0.009,1010.0,915.0,
266,v_prevresp|participant_id[55],-0.174,0.29,-0.742,0.336,0.009,0.007,941.0,942.0,
267,v_prevresp|participant_id[56],-0.473,0.319,-1.136,0.027,0.01,0.008,986.0,644.0,
268,v_prevresp|participant_id[57],0.143,0.3,-0.478,0.701,0.009,0.007,985.0,992.0,
269,v_prevresp|participant_id[58],-0.569,0.78,-1.965,0.572,0.025,0.017,977.0,975.0,
270,v_prevresp|participant_id[59],0.245,0.432,-0.556,1.171,0.014,0.011,1021.0,846.0,
271,v_prevresp|participant_id[60],0.283,0.489,-0.512,1.245,0.016,0.011,983.0,992.0,
272,v_prevresp|participant_id[61],0.2,0.39,-0.478,0.992,0.012,0.009,1060.0,982.0,
273,v_prevresp|participant_id[62],-0.076,0.381,-0.805,0.672,0.012,0.009,995.0,936.0,
274,v_prevresp|participant_id[63],-0.025,0.294,-0.59,0.562,0.009,0.007,1058.0,850.0,
275,v_prevresp|participant_id[64],-0.136,0.322,-0.734,0.476,0.011,0.008,828.0,975.0,
276,v_prevresp|participant_id[65],-0.302,0.315,-0.93,0.275,0.01,0.007,995.0,983.0,
277,v_prevresp|participant_id[66],-0.116,0.464,-0.982,0.702,0.016,0.011,933.0,868.0,
278,v_prevresp|participant_id[67],-0.263,0.415,-1.0,0.473,0.014,0.01,792.0,1026.0,
279,v_prevresp|participant_id[68],-0.416,0.426,-1.283,0.288,0.015,0.011,863.0,847.0,
280,v_prevresp|participant_id[69],-0.103,0.444,-1.014,0.687,0.014,0.01,1072.0,972.0,
281,v_prevresp|participant_id_mu,0.009,0.295,-0.501,0.597,0.009,0.007,983.0,917.0,
282,v_signed_contrast,0.996,0.538,-0.006,1.978,0.017,0.012,1036.0,1021.0,
283,v_signed_contrast|participant_id_sigma,0.148,0.173,0.006,0.381,0.005,0.004,1020.0,1017.0,
284,p_outlier,0.06,0.008,0.046,0.076,0.0,0.0,865.0,943.0,
285,t_1|participant_id[1],0.252,0.424,-0.458,1.107,0.014,0.01,943.0,908.0,
286,t_1|participant_id[2],-0.059,0.347,-0.627,0.605,0.011,0.008,924.0,577.0,
287,t_1|participant_id[3],0.062,0.372,-0.567,0.827,0.012,0.008,973.0,945.0,
288,t_1|participant_id[4],0.435,0.455,-0.318,1.289,0.014,0.01,1050.0,1067.0,
289,t_1|participant_id[5],0.06,0.359,-0.601,0.862,0.012,0.008,933.0,1000.0,
290,t_1|participant_id[6],0.095,0.364,-0.537,0.754,0.013,0.01,904.0,837.0,
291,t_1|participant_id[7],-0.071,0.437,-0.7,0.835,0.014,0.01,982.0,895.0,
292,t_1|participant_id[8],0.134,0.347,-0.541,0.781,0.011,0.008,919.0,983.0,
293,t_1|participant_id[9],0.194,0.378,-0.514,0.894,0.011,0.009,1077.0,983.0,
294,t_1|participant_id[10],0.463,0.534,-0.453,1.552,0.017,0.012,1021.0,934.0,
295,t_1|participant_id[11],-0.221,0.339,-0.832,0.361,0.01,0.008,1107.0,892.0,
296,t_1|participant_id[12],0.101,0.383,-0.641,0.811,0.013,0.009,919.0,967.0,
297,t_1|participant_id[13],0.024,0.316,-0.568,0.664,0.01,0.007,1010.0,912.0,
298,t_1|participant_id[14],0.784,0.48,-0.01,1.767,0.016,0.012,984.0,755.0,
299,t_1|participant_id[15],0.577,0.466,-0.145,1.611,0.014,0.011,1090.0,890.0,
300,t_1|participant_id[16],0.307,0.397,-0.359,1.05,0.014,0.01,875.0,976.0,
301,t_1|participant_id[17],0.3,0.454,-0.386,1.195,0.015,0.011,924.0,962.0,
302,t_1|participant_id[18],0.178,0.374,-0.395,0.945,0.012,0.009,995.0,809.0,
303,t_1|participant_id[19],0.247,0.398,-0.428,1.047,0.013,0.009,922.0,973.0,
304,t_1|participant_id[20],0.035,0.303,-0.565,0.526,0.01,0.007,879.0,983.0,
305,t_1|participant_id[21],0.075,0.324,-0.488,0.746,0.011,0.007,944.0,908.0,
306,t_1|participant_id[22],0.142,0.354,-0.495,0.829,0.011,0.008,1002.0,982.0,
307,t_1|participant_id[23],0.246,0.374,-0.399,0.978,0.012,0.008,1026.0,975.0,
308,t_1|participant_id[24],-0.065,0.32,-0.628,0.584,0.011,0.007,957.0,826.0,
309,t_1|participant_id[25],-0.397,0.291,-1.018,0.143,0.01,0.007,855.0,873.0,
310,t_1|participant_id[26],0.863,0.524,0.123,1.937,0.017,0.012,895.0,986.0,
311,t_1|participant_id[27],0.297,0.44,-0.445,1.135,0.014,0.01,1024.0,984.0,
312,t_1|participant_id[28],0.265,0.423,-0.527,0.997,0.014,0.01,978.0,936.0,
313,t_1|participant_id[29],-0.166,0.393,-0.811,0.626,0.012,0.01,1009.0,1025.0,
314,t_1|participant_id[30],0.104,0.362,-0.581,0.793,0.012,0.009,922.0,1023.0,
315,t_1|participant_id[31],0.206,0.355,-0.436,0.843,0.012,0.009,931.0,860.0,
316,t_1|participant_id[32],0.552,0.48,-0.186,1.588,0.016,0.012,961.0,903.0,
317,t_1|participant_id[33],0.683,0.499,-0.183,1.62,0.016,0.012,1061.0,984.0,
318,t_1|participant_id[34],0.723,0.517,-0.123,1.725,0.017,0.013,999.0,909.0,
319,t_1|participant_id[35],0.034,0.378,-0.566,0.709,0.012,0.009,939.0,981.0,
320,t_1|participant_id[36],0.35,0.457,-0.477,1.29,0.014,0.01,1011.0,983.0,
321,t_1|participant_id[37],0.612,0.481,-0.275,1.539,0.016,0.012,974.0,850.0,
322,t_1|participant_id[38],0.295,0.428,-0.364,1.267,0.013,0.01,1051.0,1027.0,
323,t_1|participant_id[39],0.459,0.454,-0.293,1.273,0.014,0.011,1016.0,909.0,
324,t_1|participant_id[40],-0.103,0.305,-0.673,0.45,0.01,0.007,961.0,906.0,
325,t_1|participant_id[41],-0.338,0.417,-1.039,0.473,0.014,0.01,954.0,872.0,
326,t_1|participant_id[42],-0.149,0.343,-0.883,0.419,0.011,0.008,978.0,983.0,
327,t_1|participant_id[43],0.632,0.473,-0.223,1.486,0.015,0.012,977.0,754.0,
328,t_1|participant_id[44],0.184,0.398,-0.505,0.98,0.013,0.009,1000.0,896.0,
329,t_1|participant_id[45],0.128,0.421,-0.458,1.0,0.014,0.011,1007.0,930.0,
330,t_1|participant_id[46],0.091,0.344,-0.505,0.839,0.011,0.008,899.0,962.0,
331,t_1|participant_id[47],0.108,0.399,-0.611,0.86,0.013,0.009,996.0,978.0,
332,t_1|participant_id[48],0.039,0.336,-0.563,0.762,0.01,0.008,1081.0,841.0,
333,t_1|participant_id[49],0.129,0.357,-0.488,0.829,0.011,0.009,1057.0,755.0,
334,t_1|participant_id[50],0.743,0.486,-0.058,1.712,0.015,0.012,1009.0,954.0,
335,t_1|participant_id[51],0.058,0.317,-0.45,0.753,0.01,0.007,1095.0,988.0,
336,t_1|participant_id[52],0.298,0.379,-0.313,1.057,0.012,0.008,1019.0,979.0,
337,t_1|participant_id[53],0.318,0.423,-0.51,1.136,0.014,0.01,994.0,937.0,
338,t_1|participant_id[54],-0.075,0.354,-0.642,0.554,0.011,0.008,841.0,952.0,
339,t_1|participant_id[55],0.22,0.433,-0.434,1.056,0.014,0.01,1007.0,933.0,
340,t_1|participant_id[56],0.397,0.419,-0.337,1.246,0.013,0.01,1027.0,869.0,
341,t_1|participant_id[57],0.564,0.464,-0.152,1.512,0.015,0.011,1039.0,970.0,
342,t_1|participant_id[58],0.231,0.386,-0.421,1.04,0.013,0.009,956.0,866.0,
343,t_1|participant_id[59],0.657,0.468,-0.113,1.601,0.014,0.011,1098.0,872.0,
