,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
352,t_1|participant_id[66],0.025,0.301,-0.602,0.563,0.009,0.007,1010.0,982.0,
353,t_1|participant_id[67],-0.101,0.316,-0.686,0.459,0.01,0.007,938.0,972.0,
354,t_1|participant_id[68],0.107,0.409,-0.565,0.786,0.012,0.009,1101.0,912.0,
355,t_1|participant_id[69],0.222,0.388,-0.463,0.908,0.012,0.009,1036.0,983.0,
356,v_prevresp|participant_id_offset[1],-1.818,1.24,-4.176,0.486,0.04,0.028,959.0,1036.0,
357,v_prevresp|participant_id_offset[2],0.339,0.619,-0.778,1.514,0.021,0.015,872.0,1072.0,
358,v_prevresp|participant_id_offset[3],-0.186,0.864,-1.835,1.399,0.028,0.02,951.0,746.0,
359,v_prevresp|participant_id_offset[4],0.416,1.08,-1.561,2.178,0.035,0.025,967.0,860.0,
360,v_prevresp|participant_id_offset[5],-0.941,0.846,-2.37,0.782,0.027,0.019,993.0,880.0,
361,v_prevresp|participant_id_offset[6],0.395,1.115,-1.74,2.393,0.036,0.026,969.0,943.0,
362,v_prevresp|participant_id_offset[7],0.297,1.154,-1.842,2.496,0.039,0.027,887.0,945.0,
363,v_prevresp|participant_id_offset[8],0.122,0.959,-1.755,1.876,0.03,0.021,999.0,1024.0,
364,v_prevresp|participant_id_offset[9],-1.041,0.944,-2.909,0.654,0.029,0.02,1080.0,1024.0,
365,v_prevresp|participant_id_offset[10],-0.175,0.733,-1.591,1.103,0.024,0.017,945.0,873.0,
366,v_prevresp|participant_id_offset[11],-1.324,0.819,-2.834,0.229,0.025,0.018,1060.0,941.0,
367,v_prevresp|participant_id_offset[12],-1.002,0.867,-2.535,0.696,0.028,0.02,921.0,820.0,
368,v_prevresp|participant_id_offset[13],-0.382,1.103,-2.299,1.743,0.037,0.026,888.0,944.0,
369,v_prevresp|participant_id_offset[14],-1.057,1.018,-3.125,0.746,0.034,0.024,900.0,947.0,
370,v_prevresp|participant_id_offset[15],1.226,1.186,-0.943,3.408,0.039,0.027,950.0,1010.0,
371,v_prevresp|participant_id_offset[16],-1.256,1.295,-3.588,1.212,0.044,0.031,873.0,942.0,
372,v_prevresp|participant_id_offset[17],2.088,1.297,-0.341,4.47,0.043,0.031,914.0,696.0,
373,v_prevresp|participant_id_offset[18],-1.274,0.888,-3.022,0.298,0.03,0.021,883.0,853.0,
374,v_prevresp|participant_id_offset[19],-0.501,0.996,-2.277,1.527,0.032,0.023,976.0,981.0,
375,v_prevresp|participant_id_offset[20],0.164,1.181,-2.035,2.315,0.037,0.027,987.0,932.0,
376,v_prevresp|participant_id_offset[21],-1.063,1.147,-3.3,1.045,0.038,0.027,929.0,675.0,
377,v_prevresp|participant_id_offset[22],-0.215,1.089,-2.35,1.762,0.036,0.026,923.0,877.0,
378,v_prevresp|participant_id_offset[23],0.401,0.96,-1.23,2.282,0.031,0.022,970.0,948.0,
379,v_prevresp|participant_id_offset[24],-0.27,0.888,-1.886,1.501,0.029,0.021,950.0,841.0,
380,v_prevresp|participant_id_offset[25],-0.707,1.015,-2.54,1.221,0.03,0.023,1119.0,876.0,
381,v_prevresp|participant_id_offset[26],3.267,1.437,0.708,6.015,0.048,0.034,913.0,923.0,
382,v_prevresp|participant_id_offset[27],-0.518,1.013,-2.32,1.355,0.032,0.022,1029.0,999.0,
383,v_prevresp|participant_id_offset[28],0.972,1.115,-1.115,3.085,0.038,0.027,874.0,798.0,
384,v_prevresp|participant_id_offset[29],-0.342,0.796,-1.885,1.118,0.026,0.018,966.0,837.0,
385,v_prevresp|participant_id_offset[30],-0.68,0.928,-2.561,0.983,0.031,0.022,930.0,844.0,
386,v_prevresp|participant_id_offset[31],-0.828,0.911,-2.468,0.936,0.028,0.021,1077.0,872.0,
387,v_prevresp|participant_id_offset[32],2.032,1.123,-0.25,4.072,0.036,0.026,954.0,857.0,
388,v_prevresp|participant_id_offset[33],-0.301,1.102,-2.52,1.624,0.036,0.027,948.0,847.0,
389,v_prevresp|participant_id_offset[34],0.353,0.983,-1.383,2.24,0.032,0.023,958.0,937.0,
390,v_prevresp|participant_id_offset[35],-0.481,1.128,-2.363,1.842,0.037,0.026,956.0,948.0,
391,v_prevresp|participant_id_offset[36],-0.224,0.686,-1.382,1.186,0.022,0.015,987.0,982.0,
392,v_prevresp|participant_id_offset[37],1.005,0.993,-0.954,2.802,0.031,0.023,1025.0,860.0,
393,v_prevresp|participant_id_offset[38],-1.276,0.805,-2.709,0.357,0.027,0.019,897.0,820.0,
394,v_prevresp|participant_id_offset[39],3.02,1.51,0.419,5.97,0.049,0.035,940.0,944.0,
395,v_prevresp|participant_id_offset[40],-0.304,1.053,-2.034,1.922,0.032,0.024,1084.0,878.0,
396,v_prevresp|participant_id_offset[41],0.432,1.158,-1.565,2.735,0.036,0.026,1006.0,748.0,
397,v_prevresp|participant_id_offset[42],0.91,0.662,-0.207,2.206,0.02,0.015,1039.0,872.0,
398,v_prevresp|participant_id_offset[43],1.234,1.195,-1.121,3.421,0.038,0.027,985.0,893.0,
399,v_prevresp|participant_id_offset[44],0.731,1.158,-1.349,3.011,0.04,0.028,839.0,815.0,
400,v_prevresp|participant_id_offset[45],0.15,0.903,-1.601,1.789,0.029,0.022,948.0,852.0,
401,v_prevresp|participant_id_offset[46],0.521,1.3,-2.001,2.745,0.042,0.033,972.0,852.0,
402,v_prevresp|participant_id_offset[47],-0.85,0.725,-2.135,0.567,0.022,0.016,1102.0,942.0,
403,v_prevresp|participant_id_offset[48],-0.761,0.867,-2.429,0.819,0.028,0.02,937.0,873.0,
404,v_prevresp|participant_id_offset[49],-0.871,0.801,-2.465,0.451,0.027,0.019,909.0,983.0,
405,v_prevresp|participant_id_offset[50],1.229,1.315,-1.093,3.879,0.046,0.033,809.0,817.0,
406,v_prevresp|participant_id_offset[51],0.474,1.206,-1.627,2.821,0.039,0.028,960.0,841.0,
407,v_prevresp|participant_id_offset[52],-0.173,0.775,-1.486,1.438,0.027,0.019,820.0,940.0,
408,v_prevresp|participant_id_offset[53],-0.382,0.716,-1.608,1.025,0.025,0.018,842.0,813.0,
409,v_prevresp|participant_id_offset[54],-0.285,1.011,-2.191,1.564,0.032,0.023,996.0,1026.0,
410,v_prevresp|participant_id_offset[55],-0.532,0.758,-1.855,1.008,0.026,0.02,855.0,809.0,
411,v_prevresp|participant_id_offset[56],-1.349,0.734,-2.555,0.151,0.024,0.017,955.0,935.0,
412,v_prevresp|participant_id_offset[57],0.438,0.731,-0.868,1.803,0.022,0.017,1061.0,883.0,
413,v_prevresp|participant_id_offset[58],-1.32,1.487,-4.054,1.433,0.052,0.036,836.0,804.0,
414,v_prevresp|participant_id_offset[59],0.563,0.988,-1.089,2.534,0.03,0.021,1072.0,1033.0,
415,v_prevresp|participant_id_offset[60],0.646,1.065,-1.442,2.592,0.035,0.027,916.0,739.0,
416,v_prevresp|participant_id_offset[61],0.477,0.918,-1.218,2.23,0.03,0.021,940.0,746.0,
417,v_prevresp|participant_id_offset[62],-0.362,0.944,-2.179,1.371,0.032,0.023,867.0,983.0,
418,v_prevresp|participant_id_offset[63],-0.118,0.768,-1.465,1.384,0.027,0.019,790.0,823.0,
419,v_prevresp|participant_id_offset[64],-0.222,0.844,-1.743,1.343,0.026,0.019,1067.0,1058.0,
420,v_prevresp|participant_id_offset[65],-0.838,0.699,-2.14,0.38,0.024,0.017,870.0,942.0,
421,v_prevresp|participant_id_offset[66],-0.154,1.18,-2.266,2.141,0.042,0.03,785.0,906.0,
422,v_prevresp|participant_id_offset[67],-0.736,0.865,-2.358,0.824,0.028,0.022,961.0,981.0,
423,v_prevresp|participant_id_offset[68],-1.177,0.84,-2.733,0.393,0.025,0.018,1101.0,944.0,
424,v_prevresp|participant_id_offset[69],-0.263,1.009,-2.336,1.413,0.035,0.025,844.0,815.0,
425,v_Intercept,-0.33,0.349,-0.957,0.341,0.012,0.008,902.0,1011.0,
426,z_prevresp|participant_id_offset[1],0.411,1.118,-1.548,2.515,0.037,0.028,928.0,769.0,
427,z_prevresp|participant_id_offset[2],-0.1,0.995,-2.084,1.592,0.033,0.024,920.0,883.0,
428,z_prevresp|participant_id_offset[3],0.124,1.068,-1.968,2.064,0.032,0.023,1135.0,911.0,
429,z_prevresp|participant_id_offset[4],0.381,1.044,-1.586,2.241,0.033,0.024,1025.0,983.0,
