,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
422,theta_1|participant_id_offset[68],-0.535,0.897,-2.1,1.23,0.031,0.026,823.0,731.0,
423,theta_1|participant_id_offset[69],0.578,1.101,-1.359,2.749,0.036,0.025,958.0,1017.0,
424,a_1|participant_id_mu,-0.016,0.293,-0.514,0.557,0.009,0.007,1037.0,1017.0,
425,v_1|participant_id[1],-3.788,2.12,-7.529,-0.499,0.069,0.049,941.0,986.0,
426,v_1|participant_id[2],-0.079,0.435,-0.869,0.767,0.014,0.01,1060.0,970.0,
427,v_1|participant_id[3],-1.364,0.65,-2.586,-0.272,0.022,0.015,930.0,975.0,
428,v_1|participant_id[4],0.352,0.608,-0.675,1.459,0.019,0.014,1102.0,1025.0,
429,v_1|participant_id[5],-0.004,0.666,-1.134,1.238,0.021,0.015,1044.0,906.0,
430,v_1|participant_id[6],1.257,1.091,-0.486,3.345,0.034,0.024,997.0,990.0,
431,v_1|participant_id[7],1.377,0.954,-0.154,3.12,0.03,0.021,1041.0,990.0,
432,v_1|participant_id[8],0.141,0.506,-0.878,1.021,0.015,0.011,1106.0,1026.0,
433,v_1|participant_id[9],0.074,0.519,-0.887,1.074,0.017,0.012,947.0,845.0,
434,v_1|participant_id[10],0.209,0.454,-0.647,1.061,0.013,0.01,1217.0,1024.0,
435,v_1|participant_id[11],-0.085,0.49,-1.01,0.797,0.015,0.012,1085.0,976.0,
436,v_1|participant_id[12],-1.366,0.504,-2.346,-0.479,0.016,0.011,998.0,727.0,
437,v_1|participant_id[13],-1.405,1.139,-3.278,0.353,0.037,0.026,923.0,1023.0,
438,v_1|participant_id[14],-2.414,1.272,-4.698,-0.528,0.041,0.029,934.0,907.0,
439,v_1|participant_id[15],2.267,1.639,-0.382,5.134,0.052,0.037,1013.0,1023.0,
440,v_1|participant_id[16],-3.339,1.93,-6.689,-0.367,0.062,0.044,957.0,938.0,
441,v_1|participant_id[17],1.249,0.809,-0.039,2.81,0.025,0.018,1092.0,1023.0,
442,v_1|participant_id[18],0.854,0.763,-0.515,2.232,0.025,0.018,1002.0,976.0,
443,v_1|participant_id[19],0.835,0.892,-0.53,2.631,0.028,0.02,1080.0,978.0,
444,v_1|participant_id[20],0.197,1.116,-2.134,2.046,0.033,0.025,1143.0,979.0,
445,v_1|participant_id[21],-3.153,1.69,-6.17,-0.554,0.056,0.039,926.0,948.0,
446,v_1|participant_id[22],-2.0,1.15,-3.931,-0.153,0.038,0.027,911.0,888.0,
447,v_1|participant_id[23],1.175,1.12,-0.536,3.381,0.035,0.025,1055.0,1017.0,
448,v_1|participant_id[24],0.364,0.594,-0.688,1.598,0.018,0.014,1077.0,975.0,
449,v_1|participant_id[25],0.86,1.138,-0.789,3.109,0.036,0.026,1016.0,979.0,
450,v_1|participant_id[26],4.516,2.42,1.022,8.927,0.077,0.055,994.0,979.0,
451,v_1|participant_id[27],-1.959,1.135,-3.943,-0.12,0.037,0.026,986.0,823.0,
452,v_1|participant_id[28],-1.401,0.611,-2.507,-0.358,0.02,0.014,936.0,941.0,
453,v_1|participant_id[29],0.472,0.703,-0.729,1.81,0.022,0.016,1030.0,948.0,
454,v_1|participant_id[30],0.238,0.498,-0.71,1.12,0.016,0.011,1033.0,980.0,
455,v_1|participant_id[31],-0.637,0.504,-1.6,0.254,0.016,0.012,938.0,952.0,
456,v_1|participant_id[32],-0.338,0.44,-1.199,0.416,0.014,0.01,959.0,740.0,
457,v_1|participant_id[33],-2.356,0.946,-3.984,-0.701,0.031,0.022,953.0,944.0,
