,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,v_prevresp,0.25,0.458,-0.608,1.089,0.015,0.011,889.0,835.0,
1,z_prevresp,-0.042,0.179,-0.384,0.281,0.006,0.004,821.0,905.0,
2,t,0.049,0.017,0.02,0.077,0.001,0.0,1049.0,956.0,
3,theta,-0.074,0.022,-0.098,-0.038,0.001,0.001,958.0,945.0,
4,v_Intercept,0.195,0.281,-0.307,0.765,0.008,0.006,1094.0,982.0,
5,v_signed_contrast,0.056,0.04,-0.018,0.127,0.001,0.001,861.0,845.0,
6,a,0.695,0.035,0.63,0.761,0.001,0.001,1067.0,952.0,
7,z_Intercept,0.489,0.081,0.332,0.629,0.003,0.002,1009.0,971.0,
8,p_outlier,0.059,0.023,0.025,0.104,0.001,0.001,996.0,985.0,
