,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,v_prevresp,0.433,0.329,-0.143,1.041,0.011,0.008,906.0,920.0,
1,z_prevresp,-0.047,0.097,-0.232,0.13,0.003,0.002,1068.0,935.0,
2,t,0.078,0.033,0.03,0.144,0.001,0.001,877.0,1021.0,
3,theta,-0.031,0.055,-0.094,0.06,0.002,0.001,910.0,986.0,
4,v_Intercept,0.002,0.169,-0.313,0.303,0.005,0.004,981.0,945.0,
5,v_signed_contrast,0.052,0.019,0.016,0.087,0.001,0.0,907.0,1017.0,
6,a,0.829,0.056,0.719,0.928,0.002,0.001,879.0,870.0,
7,z_Intercept,0.509,0.064,0.395,0.622,0.002,0.001,958.0,948.0,
8,p_outlier,0.026,0.017,0.005,0.057,0.001,0.0,891.0,944.0,
