,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,v_prevresp,-0.118,0.852,-1.792,1.373,0.027,0.019,989.0,914.0,
1,z_prevresp,0.201,0.654,-0.858,1.55,0.021,0.015,993.0,911.0,
2,t,0.099,0.078,0.013,0.247,0.003,0.002,849.0,859.0,
3,theta,0.303,0.244,-0.057,0.769,0.008,0.006,914.0,681.0,
4,v_Intercept,-1.132,0.8,-2.508,0.439,0.024,0.017,1100.0,1020.0,
5,v_signed_contrast,0.168,0.11,-0.055,0.364,0.004,0.003,830.0,768.0,
6,a,0.739,0.145,0.497,1.008,0.005,0.003,848.0,585.0,
7,z_Intercept,0.234,0.702,-1.113,1.482,0.023,0.017,928.0,940.0,
8,p_outlier,0.122,0.064,0.024,0.244,0.002,0.001,1058.0,935.0,
