,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,v_prevresp,0.467,0.721,-0.906,1.855,0.022,0.016,1071.0,900.0,
1,z_prevresp,0.181,0.726,-1.136,1.527,0.022,0.017,1045.0,1026.0,
2,t,0.119,0.115,0.005,0.335,0.004,0.003,800.0,803.0,
3,theta,0.343,0.244,-0.043,0.818,0.008,0.006,933.0,876.0,
4,v_Intercept,1.52,0.595,0.424,2.568,0.019,0.013,993.0,863.0,
5,v_signed_contrast,0.427,0.358,-0.209,1.124,0.012,0.008,963.0,979.0,
6,a,0.824,0.199,0.518,1.182,0.007,0.005,816.0,908.0,
7,z_Intercept,-0.341,0.466,-1.146,0.589,0.015,0.011,900.0,941.0,
8,p_outlier,0.107,0.079,0.003,0.258,0.003,0.002,969.0,972.0,
