,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,v_prevresp,0.369,0.934,-1.254,2.163,0.03,0.022,940.0,832.0,
1,z_prevresp,0.082,0.616,-1.056,1.24,0.019,0.017,1053.0,812.0,
2,t,0.127,0.098,0.011,0.314,0.003,0.002,1154.0,1026.0,
3,theta,0.505,0.298,0.017,1.063,0.009,0.007,1022.0,901.0,
4,v_Intercept,-1.203,0.959,-3.151,0.377,0.031,0.022,955.0,921.0,
5,v_signed_contrast,0.275,0.183,-0.066,0.625,0.006,0.004,1011.0,975.0,
6,a,0.682,0.173,0.388,0.986,0.005,0.004,1069.0,809.0,
7,z_Intercept,0.133,0.713,-1.174,1.424,0.022,0.016,1026.0,1016.0,
8,p_outlier,0.137,0.08,0.021,0.296,0.002,0.002,1066.0,1025.0,
