,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,v_prevresp,0.288,0.693,-1.073,1.513,0.02,0.016,1167.0,981.0,
1,z_prevresp,0.074,0.304,-0.455,0.679,0.01,0.008,970.0,777.0,
2,t,0.104,0.055,0.026,0.208,0.002,0.001,932.0,889.0,
3,theta,0.007,0.079,-0.085,0.158,0.003,0.002,963.0,944.0,
4,v_Intercept,0.422,0.448,-0.45,1.247,0.015,0.01,931.0,889.0,
5,v_signed_contrast,0.1,0.054,-0.0,0.198,0.002,0.001,1068.0,982.0,
6,a,0.776,0.088,0.615,0.939,0.003,0.002,888.0,972.0,
7,z_Intercept,0.48,0.147,0.218,0.77,0.005,0.003,879.0,865.0,
8,p_outlier,0.087,0.041,0.021,0.16,0.001,0.001,966.0,874.0,
