,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,v_prevresp,0.862,0.728,-0.408,2.291,0.023,0.016,982.0,990.0,
1,z_prevresp,-0.001,0.221,-0.384,0.439,0.007,0.005,940.0,941.0,
2,t,0.102,0.051,0.03,0.194,0.002,0.001,930.0,942.0,
3,theta,0.343,0.192,0.024,0.707,0.006,0.004,972.0,889.0,
4,v_Intercept,0.59,0.527,-0.391,1.548,0.018,0.013,852.0,915.0,
5,v_signed_contrast,0.158,0.086,0.015,0.329,0.003,0.002,977.0,910.0,
6,a,0.618,0.113,0.417,0.825,0.004,0.003,949.0,981.0,
7,z_Intercept,0.533,0.111,0.31,0.723,0.004,0.003,832.0,907.0,
8,p_outlier,0.078,0.031,0.028,0.139,0.001,0.001,984.0,981.0,
