,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,v_prevresp,0.167,0.722,-1.236,1.491,0.024,0.017,885.0,959.0,
1,z_prevresp,-0.305,0.861,-1.962,1.202,0.028,0.021,961.0,1015.0,
2,t,0.051,0.042,0.005,0.121,0.001,0.001,1002.0,901.0,
3,theta,-0.028,0.088,-0.099,0.131,0.003,0.002,1153.0,852.0,
4,v_Intercept,0.578,0.513,-0.386,1.552,0.016,0.013,982.0,983.0,
5,v_signed_contrast,0.115,0.086,-0.048,0.276,0.003,0.002,847.0,866.0,
6,a,0.7,0.07,0.574,0.832,0.002,0.002,974.0,932.0,
7,z_Intercept,0.898,0.46,-0.01,1.686,0.015,0.011,893.0,1023.0,
8,p_outlier,0.101,0.052,0.02,0.197,0.002,0.001,1001.0,932.0,
