,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,v_prevresp,-0.13,1.005,-1.988,1.729,0.035,0.025,845.0,848.0,
1,z_prevresp,-0.197,0.628,-1.43,0.885,0.021,0.015,918.0,1026.0,
2,t,0.157,0.153,0.011,0.446,0.005,0.003,1044.0,914.0,
3,theta,0.225,0.262,-0.092,0.731,0.009,0.006,856.0,851.0,
4,v_Intercept,-0.86,0.895,-2.552,0.751,0.028,0.02,1014.0,901.0,
5,v_signed_contrast,0.293,0.213,-0.071,0.74,0.006,0.004,1202.0,875.0,
6,a,1.007,0.266,0.579,1.551,0.009,0.006,832.0,868.0,
7,z_Intercept,-0.192,0.704,-1.574,1.086,0.021,0.017,1122.0,981.0,
8,p_outlier,0.262,0.11,0.058,0.442,0.004,0.003,972.0,878.0,
