,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,v_prevresp,0.157,1.038,-1.714,2.057,0.034,0.024,915.0,979.0,
1,z_prevresp,0.03,0.631,-1.059,1.224,0.02,0.015,1008.0,1026.0,
2,t,0.129,0.131,0.005,0.345,0.004,0.003,954.0,898.0,
3,theta,0.339,0.312,-0.084,0.915,0.01,0.007,843.0,974.0,
4,v_Intercept,0.97,1.097,-1.221,2.849,0.035,0.025,967.0,1038.0,
5,v_signed_contrast,0.288,0.188,-0.043,0.664,0.006,0.004,934.0,768.0,
6,a,1.007,0.29,0.568,1.555,0.01,0.007,838.0,875.0,
7,z_Intercept,1.046,0.446,0.184,1.914,0.014,0.01,967.0,907.0,
8,p_outlier,0.25,0.109,0.06,0.438,0.003,0.002,987.0,944.0,
