,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,v_prevresp,0.195,0.596,-0.898,1.359,0.019,0.014,999.0,851.0,
1,z_prevresp,-0.115,0.398,-0.857,0.606,0.014,0.01,797.0,944.0,
2,t,0.1,0.071,0.011,0.218,0.002,0.002,1023.0,1072.0,
3,theta,0.02,0.086,-0.083,0.18,0.003,0.002,1038.0,1014.0,
4,v_Intercept,0.671,0.328,0.07,1.269,0.011,0.008,927.0,830.0,
5,v_signed_contrast,0.226,0.147,-0.061,0.48,0.005,0.003,1023.0,1017.0,
6,a,0.916,0.12,0.69,1.125,0.004,0.003,1075.0,1072.0,
7,z_Intercept,0.554,0.174,0.238,0.888,0.007,0.005,643.0,926.0,
8,p_outlier,0.131,0.051,0.049,0.23,0.002,0.001,902.0,1018.0,
