,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,v_prevresp,0.322,0.849,-1.273,1.903,0.027,0.019,993.0,1024.0,
1,z_prevresp,0.002,0.379,-0.7,0.675,0.012,0.008,1080.0,981.0,
2,t,0.115,0.066,0.024,0.236,0.002,0.001,1030.0,1020.0,
3,theta,0.47,0.238,0.055,0.89,0.007,0.005,1019.0,912.0,
4,v_Intercept,1.586,0.83,-0.059,3.078,0.027,0.019,932.0,876.0,
5,v_signed_contrast,0.177,0.111,-0.03,0.383,0.004,0.003,966.0,795.0,
6,a,0.718,0.186,0.438,1.059,0.006,0.004,1042.0,1017.0,
7,z_Intercept,0.47,0.215,0.039,0.848,0.007,0.005,959.0,842.0,
8,p_outlier,0.062,0.037,0.011,0.128,0.001,0.001,990.0,1016.0,
