,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,v_prevresp,-0.033,1.045,-1.992,1.887,0.034,0.024,939.0,935.0,
1,z_prevresp,-0.01,0.87,-1.622,1.586,0.028,0.02,943.0,982.0,
2,t,0.436,0.451,0.002,1.364,0.014,0.01,992.0,983.0,
3,theta,0.653,0.406,0.003,1.294,0.012,0.009,1081.0,772.0,
4,v_Intercept,-0.613,1.137,-2.705,1.624,0.037,0.026,954.0,907.0,
5,v_signed_contrast,0.262,0.876,-1.213,2.054,0.028,0.02,1012.0,910.0,
6,a,1.375,0.694,0.335,2.587,0.022,0.016,937.0,840.0,
7,z_Intercept,-0.539,0.69,-1.734,0.787,0.023,0.016,920.0,1013.0,
8,p_outlier,0.26,0.155,0.022,0.496,0.005,0.003,1096.0,1020.0,
