,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_Intercept,0.441,0.012,0.42,0.464,0.0,0.0,748.0,695.0,1.0
t,0.192,0.003,0.186,0.198,0.0,0.0,996.0,769.0,1.01
v_signed_contrast,7.037,0.366,6.345,7.71,0.012,0.014,901.0,582.0,1.0
v_Intercept,0.283,0.077,0.124,0.412,0.003,0.002,789.0,564.0,1.0
a,0.641,0.012,0.618,0.662,0.0,0.0,885.0,726.0,1.01
