,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v_prevresp_cat[prev_right],0.51,0.175,0.175,0.823,0.005,0.006,1172.0,672.0,1.0
z_Intercept,0.536,0.014,0.511,0.561,0.001,0.0,701.0,703.0,1.0
t,0.151,0.003,0.146,0.156,0.0,0.0,652.0,619.0,1.01
v_signed_contrast,5.775,0.338,5.124,6.391,0.011,0.012,1014.0,710.0,1.0
v_Intercept,-1.086,0.143,-1.346,-0.812,0.005,0.005,790.0,624.0,1.0
a,0.467,0.01,0.448,0.483,0.0,0.0,717.0,629.0,1.0
