,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v_prevresp_cat[prev_right],0.335,0.169,0.034,0.659,0.006,0.005,847.0,754.0,1.0
z_Intercept,0.564,0.019,0.526,0.597,0.001,0.001,644.0,689.0,1.0
t,0.179,0.004,0.172,0.185,0.0,0.0,771.0,611.0,1.0
v_signed_contrast,5.486,0.265,4.986,5.948,0.008,0.012,1141.0,743.0,1.0
z_prevresp_cat[prev_right],-0.016,0.025,-0.061,0.031,0.001,0.001,843.0,684.0,1.0
v_Intercept,-0.098,0.113,-0.314,0.103,0.004,0.003,763.0,654.0,1.0
a,0.64,0.012,0.619,0.665,0.0,0.0,911.0,714.0,1.0
