,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v_prevresp_cat[prev_right],0.44,0.121,0.226,0.664,0.004,0.004,1175.0,604.0,1.0
z_Intercept,0.428,0.012,0.405,0.452,0.0,0.0,775.0,916.0,1.0
t,0.173,0.003,0.168,0.179,0.0,0.0,704.0,683.0,1.01
v_signed_contrast,6.413,0.338,5.859,7.133,0.011,0.011,999.0,774.0,1.01
v_Intercept,-0.067,0.105,-0.248,0.151,0.004,0.003,826.0,724.0,1.0
a,0.623,0.011,0.602,0.643,0.0,0.0,795.0,792.0,1.0
