,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v_prevresp_cat[prev_right],0.884,0.161,0.58,1.184,0.006,0.005,848.0,614.0,1.0
z_Intercept,0.333,0.011,0.316,0.356,0.0,0.0,767.0,816.0,1.0
t,0.137,0.002,0.133,0.141,0.0,0.0,806.0,739.0,1.0
v_signed_contrast,5.515,0.369,4.853,6.196,0.012,0.01,929.0,758.0,1.0
v_Intercept,0.824,0.123,0.595,1.048,0.004,0.004,1004.0,793.0,1.0
a,0.491,0.008,0.474,0.504,0.0,0.0,904.0,882.0,1.0
