,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v_prevresp_cat[prev_right],0.294,0.147,0.008,0.568,0.006,0.004,658.0,589.0,1.0
z_Intercept,0.657,0.017,0.623,0.686,0.001,0.0,655.0,712.0,1.01
t,0.148,0.003,0.141,0.154,0.0,0.0,864.0,688.0,1.0
v_signed_contrast,5.587,0.249,5.138,6.048,0.01,0.006,682.0,742.0,1.0
z_prevresp_cat[prev_right],-0.065,0.022,-0.105,-0.022,0.001,0.001,677.0,691.0,1.01
v_Intercept,-0.852,0.105,-1.052,-0.663,0.004,0.003,719.0,678.0,1.0
a,0.706,0.013,0.683,0.729,0.0,0.0,815.0,732.0,1.01
