,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v_prevresp_cat[prev_right],1.149,0.21,0.761,1.528,0.008,0.006,647.0,623.0,1.01
z_Intercept,0.591,0.017,0.559,0.623,0.001,0.0,731.0,687.0,1.0
t,0.186,0.003,0.18,0.191,0.0,0.0,601.0,429.0,1.01
v_signed_contrast,6.669,0.368,5.967,7.335,0.013,0.015,882.0,718.0,1.02
z_prevresp_cat[prev_right],-0.057,0.028,-0.108,-0.005,0.001,0.001,627.0,554.0,1.01
v_Intercept,-0.873,0.126,-1.095,-0.631,0.005,0.004,733.0,659.0,1.01
a,0.571,0.013,0.547,0.594,0.001,0.0,585.0,628.0,1.0
