,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_Intercept,0.509,0.015,0.48,0.537,0.0,0.0,978.0,788.0,1.0
t,0.118,0.005,0.109,0.126,0.0,0.0,863.0,651.0,1.0
z_prevresp_cat[prev_right],0.027,0.018,-0.01,0.059,0.001,0.001,1240.0,573.0,1.0
v_signed_contrast,5.251,0.263,4.78,5.764,0.008,0.008,1089.0,692.0,1.0
v_Intercept,-0.025,0.07,-0.163,0.097,0.002,0.002,836.0,760.0,1.0
a,0.685,0.013,0.661,0.71,0.0,0.0,907.0,715.0,1.0
