,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v_prevresp_cat[prev_right],0.141,0.108,-0.044,0.352,0.003,0.003,943.0,694.0,1.01
z_Intercept,0.537,0.013,0.515,0.562,0.0,0.0,750.0,816.0,1.0
t,0.138,0.004,0.13,0.146,0.0,0.0,798.0,882.0,1.0
v_signed_contrast,5.818,0.228,5.397,6.211,0.007,0.006,983.0,881.0,1.0
v_Intercept,0.344,0.098,0.186,0.551,0.004,0.003,710.0,834.0,1.0
a,0.79,0.015,0.762,0.817,0.001,0.0,627.0,694.0,1.01
