,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v_prevresp_cat[prev_right],0.459,0.164,0.152,0.769,0.005,0.004,914.0,950.0,1.0
z_Intercept,0.579,0.018,0.543,0.612,0.001,0.001,719.0,719.0,1.0
t,0.132,0.005,0.124,0.14,0.0,0.0,619.0,600.0,1.01
v_signed_contrast,5.399,0.263,4.908,5.89,0.008,0.007,1001.0,818.0,1.0
z_prevresp_cat[prev_right],-0.024,0.025,-0.074,0.017,0.001,0.001,936.0,945.0,1.0
v_Intercept,-0.236,0.119,-0.458,-0.017,0.004,0.004,750.0,775.0,1.0
a,0.708,0.016,0.681,0.74,0.001,0.0,700.0,522.0,1.0
