,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_Intercept,0.479,0.016,0.449,0.507,0.001,0.0,628.0,655.0,1.0
t,0.14,0.006,0.13,0.151,0.0,0.0,580.0,623.0,1.0
z_prevresp_cat[prev_right],0.035,0.018,0.003,0.071,0.001,0.001,1157.0,815.0,1.0
v_signed_contrast,4.439,0.25,3.987,4.912,0.01,0.007,690.0,713.0,1.0
v_Intercept,-0.842,0.078,-0.979,-0.683,0.004,0.002,463.0,514.0,1.01
a,0.7,0.014,0.675,0.727,0.001,0.0,604.0,744.0,1.01
