,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v_prevresp_cat[prev_right],0.462,0.224,0.005,0.863,0.008,0.007,800.0,625.0,1.0
z_Intercept,0.445,0.016,0.416,0.474,0.001,0.0,580.0,687.0,1.0
t,0.203,0.004,0.194,0.21,0.0,0.0,536.0,414.0,1.01
v_signed_contrast,4.874,0.506,3.907,5.811,0.016,0.015,966.0,752.0,1.0
v_Intercept,0.522,0.192,0.137,0.87,0.007,0.005,862.0,603.0,1.0
a,0.519,0.015,0.491,0.547,0.001,0.0,496.0,463.0,1.01
