,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_Intercept,0.456,0.013,0.43,0.476,0.001,0.0,578.0,699.0,1.01
t,0.116,0.005,0.106,0.126,0.0,0.0,691.0,709.0,1.0
v_signed_contrast,4.881,0.31,4.282,5.452,0.01,0.01,912.0,763.0,1.01
v_Intercept,0.489,0.068,0.38,0.628,0.003,0.002,615.0,784.0,1.01
a,0.759,0.015,0.732,0.788,0.001,0.0,635.0,479.0,1.0
