,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v_prevresp_cat[prev_right],0.673,0.115,0.462,0.903,0.004,0.004,919.0,727.0,1.01
z_Intercept,0.488,0.013,0.463,0.511,0.001,0.0,627.0,565.0,1.0
t,0.139,0.005,0.128,0.148,0.0,0.0,636.0,718.0,1.0
v_signed_contrast,4.434,0.238,3.988,4.885,0.008,0.006,825.0,731.0,1.0
v_Intercept,-1.052,0.087,-1.214,-0.888,0.003,0.002,691.0,662.0,1.0
a,0.706,0.013,0.682,0.731,0.0,0.0,729.0,791.0,1.0
