,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_Intercept,0.558,0.013,0.53,0.581,0.001,0.0,571.0,609.0,1.01
t,0.179,0.004,0.172,0.185,0.0,0.0,673.0,665.0,1.0
v_signed_contrast,5.501,0.278,5.018,6.023,0.009,0.008,903.0,840.0,1.0
v_Intercept,0.045,0.085,-0.116,0.196,0.004,0.002,557.0,702.0,1.01
a,0.64,0.013,0.617,0.664,0.0,0.0,729.0,769.0,1.0
