,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
ddmb,0,26.921991008379855,6.757176252188842,0.0,1.0,37.076653243572984,0.0,True,log
ddmd,1,26.039865282358065,7.849155859023753,0.8821257260217727,3.469446951953614e-16,37.12153492802386,0.3744514530348363,True,log
ddmc,2,15.37944182888944,7.343297432199037,11.542549179490416,3.0755921566844834e-16,37.498832204609975,4.3246544626533066,True,log
ddma,3,13.823181972289376,5.608606417714078,13.098809036090476,0.0,37.473979047019384,4.704591347050228,True,log
