,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_Intercept,0.612,0.02,0.574,0.649,0.001,0.001,750.0,709.0,1.0
t,0.143,0.005,0.135,0.153,0.0,0.0,693.0,546.0,1.0
z_prevresp_cat[prev_right],-0.029,0.019,-0.064,0.008,0.001,0.001,1001.0,731.0,1.0
v_signed_contrast,6.947,0.346,6.237,7.548,0.013,0.01,672.0,705.0,1.01
v_Intercept,0.828,0.11,0.604,1.023,0.004,0.003,644.0,734.0,1.0
a,0.734,0.017,0.703,0.767,0.001,0.001,808.0,765.0,1.0
