,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_Intercept,0.634,0.013,0.61,0.658,0.001,0.0,544.0,700.0,1.0
t,0.176,0.002,0.173,0.18,0.0,0.0,401.0,331.0,1.01
v_signed_contrast,6.471,0.495,5.617,7.42,0.019,0.013,661.0,742.0,1.01
v_Intercept,-0.31,0.129,-0.545,-0.07,0.006,0.003,530.0,532.0,1.0
a,0.415,0.009,0.399,0.431,0.0,0.0,596.0,673.0,1.0
