,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v_prevresp_cat[prev_right],0.191,0.123,-0.019,0.437,0.004,0.003,755.0,527.0,1.01
z_Intercept,0.557,0.017,0.523,0.59,0.001,0.0,828.0,812.0,1.0
t,0.152,0.006,0.142,0.162,0.0,0.0,767.0,722.0,1.0
v_signed_contrast,7.204,0.295,6.651,7.772,0.01,0.009,954.0,850.0,1.0
z_prevresp_cat[prev_right],-0.01,0.023,-0.052,0.032,0.001,0.001,831.0,688.0,1.01
v_Intercept,0.203,0.092,0.047,0.387,0.003,0.003,808.0,764.0,1.01
a,0.784,0.015,0.756,0.813,0.001,0.0,784.0,761.0,1.01
