,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_Intercept,0.574,0.015,0.547,0.604,0.001,0.0,591.0,631.0,1.0
t,0.158,0.007,0.142,0.17,0.0,0.0,549.0,390.0,1.01
z_prevresp_cat[prev_right],-0.007,0.019,-0.045,0.027,0.001,0.001,795.0,712.0,1.01
v_signed_contrast,4.04,0.226,3.652,4.484,0.007,0.008,918.0,635.0,1.01
v_Intercept,-0.283,0.06,-0.388,-0.164,0.002,0.002,607.0,605.0,1.0
a,0.76,0.016,0.733,0.793,0.001,0.001,528.0,513.0,1.01
