,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v_prevresp_cat[prev_right],0.353,0.133,0.128,0.612,0.004,0.004,1283.0,718.0,1.01
z_Intercept,0.564,0.014,0.537,0.588,0.0,0.0,766.0,605.0,1.0
t,0.131,0.005,0.123,0.14,0.0,0.0,835.0,759.0,1.0
v_signed_contrast,5.393,0.263,4.926,5.916,0.008,0.008,988.0,656.0,1.0
v_Intercept,-0.167,0.114,-0.374,0.032,0.004,0.004,912.0,688.0,1.01
a,0.708,0.016,0.677,0.737,0.001,0.0,808.0,797.0,1.0
