,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_Intercept,0.446,0.015,0.414,0.47,0.001,0.0,615.0,616.0,1.0
t,0.203,0.004,0.193,0.21,0.0,0.0,570.0,421.0,1.0
v_signed_contrast,4.797,0.459,3.906,5.642,0.015,0.013,926.0,795.0,1.01
v_Intercept,0.852,0.116,0.633,1.053,0.004,0.003,665.0,655.0,1.0
a,0.518,0.015,0.494,0.549,0.001,0.0,597.0,652.0,1.01
