,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v_prevresp_cat[prev_right],-0.043,0.119,-0.255,0.202,0.003,0.004,1262.0,766.0,1.0
z_Intercept,0.441,0.012,0.418,0.462,0.0,0.0,849.0,715.0,1.01
t,0.192,0.003,0.185,0.198,0.0,0.0,936.0,878.0,1.0
v_signed_contrast,7.021,0.346,6.346,7.632,0.009,0.01,1580.0,953.0,1.0
v_Intercept,0.308,0.102,0.122,0.493,0.003,0.003,1051.0,799.0,1.0
a,0.641,0.012,0.62,0.664,0.0,0.0,845.0,786.0,1.0
