,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_Intercept,0.328,0.011,0.307,0.347,0.001,0.0,251.0,654.0,1.02
t,0.195,0.004,0.186,0.2,0.001,0.001,59.0,242.0,1.08
v_signed_contrast,6.73,0.321,6.185,7.36,0.012,0.01,692.0,692.0,1.0
v_Intercept,0.696,0.1,0.507,0.872,0.004,0.003,554.0,663.0,1.01
a,0.541,0.013,0.519,0.566,0.002,0.001,76.0,117.0,1.04
