,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v_prevresp_cat[prev_right],0.315,0.11,0.128,0.528,0.003,0.003,1119.0,846.0,1.01
z_Intercept,0.513,0.013,0.49,0.54,0.0,0.0,805.0,713.0,1.0
t,0.15,0.005,0.142,0.16,0.0,0.0,768.0,717.0,1.0
v_signed_contrast,4.326,0.229,3.93,4.778,0.007,0.008,1129.0,668.0,1.0
v_Intercept,0.051,0.093,-0.129,0.221,0.003,0.003,957.0,726.0,1.0
a,0.702,0.013,0.677,0.727,0.0,0.0,713.0,751.0,1.01
