,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_Intercept,0.501,0.014,0.476,0.526,0.0,0.0,942.0,779.0,1.01
t,0.198,0.001,0.195,0.2,0.0,0.0,1085.0,839.0,1.0
z_prevresp_cat[prev_right],0.107,0.018,0.076,0.142,0.001,0.001,1226.0,637.0,1.01
v_signed_contrast,6.28,0.436,5.48,7.13,0.012,0.015,1409.0,840.0,1.0
v_Intercept,-0.575,0.117,-0.798,-0.358,0.004,0.003,838.0,689.0,1.0
a,0.386,0.006,0.374,0.398,0.0,0.0,963.0,880.0,1.0
