,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_Intercept,0.467,0.012,0.445,0.489,0.0,0.0,598.0,446.0,1.01
t,0.199,0.006,0.186,0.21,0.0,0.0,589.0,559.0,1.0
v_signed_contrast,6.287,0.281,5.805,6.831,0.011,0.008,708.0,646.0,1.01
v_Intercept,0.114,0.064,-0.01,0.235,0.003,0.002,610.0,497.0,1.0
a,0.722,0.013,0.697,0.746,0.001,0.0,619.0,557.0,1.0
