,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_Intercept,0.628,0.013,0.604,0.651,0.001,0.0,500.0,739.0,1.01
t,0.18,0.002,0.177,0.184,0.0,0.0,670.0,716.0,1.01
v_signed_contrast,7.473,0.389,6.769,8.229,0.013,0.011,856.0,722.0,1.0
v_Intercept,0.154,0.123,-0.069,0.386,0.005,0.003,521.0,793.0,1.01
a,0.473,0.009,0.456,0.491,0.0,0.0,732.0,857.0,1.0
