,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_Intercept,0.263,0.012,0.241,0.286,0.0,0.0,635.0,610.0,1.0
t,0.181,0.002,0.178,0.184,0.0,0.0,947.0,769.0,1.0
z_prevresp_cat[prev_right],0.036,0.016,0.006,0.064,0.001,0.0,998.0,801.0,1.0
v_signed_contrast,5.204,0.301,4.607,5.73,0.009,0.008,1063.0,917.0,1.0
v_Intercept,-0.255,0.097,-0.439,-0.086,0.004,0.003,695.0,756.0,1.0
a,0.668,0.014,0.64,0.693,0.001,0.0,793.0,707.0,1.0
