,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
ddmb,0,10.91609342244739,6.380692888001974,0.0,0.9073423240255452,36.75279176934008,0.0,True,log
ddmd,1,9.587766003699503,7.434930384337026,1.3283274187478789,0.0,36.78577143883594,0.3064895560501522,True,log
ddma,2,9.304126961848933,5.114776832616695,1.6119664605984525,0.09265767597445716,36.64338077174844,1.9857472607784181,True,log
ddmc,3,8.743396307647892,6.38895291517882,2.1726971147995053,0.0,36.70261627709743,1.6965432299020873,True,log
