,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v_prevresp_cat[prev_right],0.874,0.166,0.558,1.219,0.005,0.006,1240.0,715.0,1.01
z_Intercept,0.57,0.013,0.547,0.593,0.0,0.0,693.0,765.0,1.0
t,0.186,0.003,0.18,0.191,0.0,0.0,900.0,722.0,1.0
v_signed_contrast,6.615,0.379,5.958,7.335,0.012,0.011,1059.0,742.0,1.0
v_Intercept,-0.779,0.113,-0.975,-0.57,0.003,0.003,1042.0,823.0,1.01
a,0.569,0.013,0.545,0.593,0.0,0.0,799.0,807.0,1.01
