,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v_prevresp_cat[prev_right],0.131,0.243,-0.312,0.616,0.01,0.008,649.0,544.0,1.0
z_Intercept,0.431,0.018,0.397,0.465,0.001,0.001,650.0,636.0,1.01
t,0.146,0.003,0.14,0.151,0.0,0.0,619.0,509.0,1.01
v_signed_contrast,7.259,0.354,6.61,7.914,0.011,0.012,967.0,716.0,1.0
z_prevresp_cat[prev_right],0.081,0.029,0.029,0.141,0.001,0.001,587.0,580.0,1.0
v_Intercept,-0.516,0.143,-0.774,-0.236,0.005,0.004,711.0,728.0,1.0
a,0.522,0.011,0.499,0.541,0.0,0.0,853.0,883.0,1.0
