,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_Intercept,0.405,0.016,0.378,0.439,0.001,0.001,772.0,704.0,1.01
t,0.199,0.003,0.194,0.204,0.0,0.0,616.0,618.0,1.01
z_prevresp_cat[prev_right],0.019,0.019,-0.017,0.054,0.001,0.001,927.0,628.0,1.01
v_signed_contrast,7.461,0.435,6.681,8.253,0.014,0.015,901.0,596.0,1.01
v_Intercept,0.72,0.097,0.548,0.898,0.004,0.003,717.0,589.0,1.0
a,0.478,0.01,0.459,0.496,0.0,0.0,570.0,673.0,1.0
