,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_Intercept,0.185,0.009,0.169,0.202,0.0,0.0,545.0,508.0,1.01
t,0.169,0.002,0.166,0.172,0.0,0.0,359.0,611.0,1.01
z_prevresp_cat[prev_right],0.024,0.011,0.004,0.043,0.0,0.0,703.0,762.0,1.0
v_signed_contrast,5.36,0.381,4.662,6.087,0.017,0.014,494.0,517.0,1.0
v_Intercept,1.501,0.099,1.308,1.684,0.005,0.003,392.0,435.0,1.02
a,0.683,0.013,0.659,0.706,0.001,0.0,443.0,511.0,1.01
