,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
ddmb,0,250.845879668821,17.18504212803981,0.0,0.862231113054557,41.98928671290279,0.0,True,log
ddma,1,249.8350340397133,15.974736351708856,1.0108456291076715,0.12375818579254445,41.95787557984679,1.6373177024976753,True,log
ddmd,2,249.25941237101136,24.191538581131454,1.5864672978095982,0.014010701152897433,41.754164023635774,1.7856280025825715,True,log
ddmc,3,248.21606192824368,19.44803188169385,2.629817740577293,9.992007221626409e-16,41.91381090870624,2.0040006645214112,True,log
