,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v_prevresp_cat[prev_right],0.113,0.177,-0.217,0.436,0.005,0.006,1057.0,795.0,1.0
z_Intercept,0.429,0.014,0.401,0.453,0.001,0.0,755.0,737.0,1.0
t,0.145,0.004,0.137,0.152,0.0,0.0,490.0,496.0,1.01
v_signed_contrast,6.4,0.375,5.726,7.088,0.014,0.012,692.0,549.0,1.01
v_Intercept,0.413,0.141,0.124,0.65,0.005,0.004,822.0,804.0,1.0
a,0.583,0.015,0.555,0.61,0.001,0.0,480.0,501.0,1.01
