,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v_prevresp_cat[prev_right],0.42,0.182,0.11,0.789,0.008,0.006,565.0,561.0,1.0
z_Intercept,0.346,0.016,0.317,0.378,0.001,0.001,171.0,470.0,1.04
t,0.194,0.005,0.183,0.2,0.001,0.0,95.0,271.0,1.06
v_signed_contrast,6.745,0.31,6.224,7.356,0.012,0.009,629.0,587.0,1.01
z_prevresp_cat[prev_right],-0.033,0.019,-0.069,0.002,0.001,0.001,481.0,544.0,1.01
v_Intercept,0.482,0.145,0.221,0.759,0.009,0.005,288.0,357.0,1.02
a,0.543,0.015,0.519,0.573,0.001,0.001,121.0,242.0,1.04
