,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_Intercept,0.564,0.013,0.539,0.589,0.001,0.0,632.0,748.0,1.0
t,0.132,0.004,0.123,0.139,0.0,0.0,765.0,732.0,1.0
v_signed_contrast,5.35,0.263,4.893,5.863,0.008,0.008,1067.0,686.0,1.0
v_Intercept,0.02,0.086,-0.125,0.197,0.003,0.002,641.0,614.0,1.0
a,0.707,0.016,0.673,0.733,0.001,0.0,709.0,760.0,1.0
