,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_Intercept,0.533,0.017,0.503,0.565,0.001,0.001,426.0,583.0,1.0
t,0.169,0.013,0.149,0.196,0.001,0.0,365.0,455.0,1.01
z_prevresp_cat[prev_right],0.047,0.02,0.011,0.084,0.001,0.001,698.0,480.0,1.0
v_signed_contrast,3.219,0.194,2.864,3.579,0.009,0.006,468.0,445.0,1.01
v_Intercept,-0.279,0.063,-0.382,-0.147,0.003,0.002,454.0,422.0,1.01
a,0.775,0.017,0.742,0.807,0.001,0.001,387.0,462.0,1.0
