,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v_prevresp_cat[prev_right],0.367,0.194,0.022,0.73,0.007,0.007,747.0,543.0,1.0
z_Intercept,0.648,0.014,0.62,0.672,0.001,0.0,640.0,468.0,1.01
t,0.199,0.002,0.195,0.204,0.0,0.0,630.0,367.0,1.02
v_signed_contrast,6.58,0.389,5.883,7.297,0.015,0.012,646.0,549.0,1.0
z_prevresp_cat[prev_right],0.006,0.021,-0.039,0.042,0.001,0.001,746.0,714.0,1.0
v_Intercept,-1.704,0.127,-1.93,-1.466,0.005,0.004,586.0,627.0,1.01
a,0.473,0.009,0.458,0.491,0.0,0.0,607.0,568.0,1.01
