,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v_prevresp_cat[prev_right],0.028,0.143,-0.234,0.304,0.005,0.004,840.0,611.0,1.0
z_Intercept,0.522,0.019,0.486,0.555,0.001,0.001,804.0,735.0,1.01
t,0.138,0.004,0.129,0.146,0.0,0.0,713.0,740.0,1.0
v_signed_contrast,5.831,0.245,5.354,6.256,0.008,0.007,912.0,817.0,1.0
z_prevresp_cat[prev_right],0.026,0.024,-0.015,0.075,0.001,0.001,863.0,729.0,1.01
v_Intercept,0.413,0.114,0.19,0.613,0.004,0.003,799.0,664.0,1.0
a,0.791,0.015,0.764,0.822,0.001,0.0,803.0,722.0,1.01
