,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
ddmd,0,318.4019153604725,8.423876996461047,0.0,0.9857739513545287,38.74384538387828,0.0,True,log
ddmc,1,317.6951882126097,7.60824427982709,0.7067271478628676,0.014226048645473197,38.64189032702405,1.2022649537265375,True,log
ddmb,2,315.12369354654436,8.928154722406816,3.278221813928181,0.0,39.02280793183431,2.5390598276338663,True,log
ddma,3,308.354090245458,8.230227422157327,10.047825115014504,0.0,38.82004692580311,3.697328095675307,True,log
