,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_Intercept,0.469,0.013,0.442,0.492,0.001,0.0,594.0,658.0,1.0
t,0.144,0.002,0.139,0.148,0.0,0.0,683.0,482.0,1.0
v_signed_contrast,7.163,0.365,6.532,7.886,0.011,0.01,1089.0,848.0,1.01
v_Intercept,-0.475,0.104,-0.689,-0.301,0.004,0.003,570.0,598.0,1.0
a,0.52,0.011,0.501,0.541,0.0,0.0,732.0,686.0,1.0
